	Terms
ABCC2	R-HSA-1430728,R-HSA-1643685,R-HSA-189445,R-HSA-189483,R-HSA-382551,R-HSA-382556,R-HSA-5619084,R-HSA-5619115,R-HSA-5679001
ABCC3	R-HSA-1430728,R-HSA-159418,R-HSA-194068,R-HSA-382551,R-HSA-382556,R-HSA-556833,R-HSA-8957322
ABCC4	R-HSA-109582,R-HSA-114608,R-HSA-382551,R-HSA-382556,R-HSA-76002,R-HSA-76005
ABCC5	R-HSA-1430728,R-HSA-1630316,R-HSA-2142845,R-HSA-2142850,R-HSA-382551,R-HSA-382556,R-HSA-71387
ABCC6	R-HSA-1643685,R-HSA-382551,R-HSA-382556,R-HSA-5619084,R-HSA-5619115,R-HSA-5690338
ABCC8	R-HSA-112316,R-HSA-1296025,R-HSA-1296065,R-HSA-1296071,R-HSA-1430728,R-HSA-163685,R-HSA-1643685,R-HSA-422356,R-HSA-5619084,R-HSA-5619115,R-HSA-5683177
ABCC9	R-HSA-112316,R-HSA-1296025,R-HSA-1296065,R-HSA-1296071,R-HSA-1643685,R-HSA-382551,R-HSA-382556,R-HSA-397014,R-HSA-5576891,R-HSA-5578775,R-HSA-5619084,R-HSA-5619115,R-HSA-5678420
ABCD1	R-HSA-1369062,R-HSA-1430728,R-HSA-1643685,R-HSA-2046104,R-HSA-2046105,R-HSA-2046106,R-HSA-382551,R-HSA-382556,R-HSA-390247,R-HSA-390918,R-HSA-556833,R-HSA-5619084,R-HSA-5619115,R-HSA-5684045,R-HSA-8978868,R-HSA-9603798,R-HSA-9609507
ABCD2	R-HSA-1369062,R-HSA-382551,R-HSA-382556,R-HSA-9603798,R-HSA-9609507
ABCD3	R-HSA-1369062,R-HSA-162582,R-HSA-194315,R-HSA-382551,R-HSA-382556,R-HSA-8980692,R-HSA-9012999,R-HSA-9013106,R-HSA-9603798,R-HSA-9609507,R-HSA-9716542
ABCD4	R-HSA-1430728,R-HSA-1643685,R-HSA-196741,R-HSA-196849,R-HSA-196854,R-HSA-3296469,R-HSA-3296482,R-HSA-5619084,R-HSA-5619115,R-HSA-5668914,R-HSA-5683329
ABCE1	R-HSA-1169410,R-HSA-1280215,R-HSA-168256,R-HSA-8983711,R-HSA-909733,R-HSA-913531
ABCF1	R-HSA-382551,R-HSA-382556
ABCG1	R-HSA-1369062,R-HSA-162582,R-HSA-174824,R-HSA-382551,R-HSA-382556,R-HSA-8963899,R-HSA-8964058,R-HSA-9006931,R-HSA-9024446,R-HSA-9029569
ABCG2	R-HSA-1430728,R-HSA-1430728,R-HSA-189445,R-HSA-189451,R-HSA-189483,R-HSA-2161517,R-HSA-2161522,R-HSA-382551,R-HSA-917937
ABCG4	R-HSA-1369062,R-HSA-382551,R-HSA-382556
ABCG5	R-HSA-1369062,R-HSA-162582,R-HSA-1643685,R-HSA-382551,R-HSA-382556,R-HSA-5619084,R-HSA-5619115,R-HSA-5679090,R-HSA-5679096,R-HSA-9006931,R-HSA-9024446,R-HSA-9029569
ABCG8	R-HSA-1369062,R-HSA-162582,R-HSA-1643685,R-HSA-382551,R-HSA-382556,R-HSA-5619084,R-HSA-5619115,R-HSA-5679090,R-HSA-5679096,R-HSA-9006931,R-HSA-9024446,R-HSA-9029569
ABHD10	R-HSA-1430728,R-HSA-156580,R-HSA-156588,R-HSA-211859
ABHD12	R-HSA-109582,R-HSA-114508,R-HSA-162582,R-HSA-372790,R-HSA-388396,R-HSA-416476,R-HSA-426048,R-HSA-76002
ABHD14B	R-HSA-1430728,R-HSA-156580,R-HSA-156584,R-HSA-211859
ABHD17A	R-HSA-162582,R-HSA-5673001,R-HSA-5683057,R-HSA-5684996,R-HSA-9648002
ABHD17B	R-HSA-162582,R-HSA-5673001,R-HSA-5683057,R-HSA-5684996,R-HSA-9648002
ABHD17C	R-HSA-162582,R-HSA-5673001,R-HSA-5683057,R-HSA-5684996,R-HSA-9648002
ABHD3	R-HSA-1430728,R-HSA-1483191,R-HSA-1483206,R-HSA-1483257,R-HSA-556833
ABHD4	R-HSA-1430728,R-HSA-1482839,R-HSA-1483206,R-HSA-1483257,R-HSA-556833
ABHD5	R-HSA-1430728,R-HSA-163560,R-HSA-556833,R-HSA-8979227
ABHD6	R-HSA-109582,R-HSA-114508,R-HSA-162582,R-HSA-372790,R-HSA-388396,R-HSA-416476,R-HSA-426048,R-HSA-76002
ABI1	R-HSA-162582,R-HSA-162582,R-HSA-1643685,R-HSA-1643685,R-HSA-168249,R-HSA-168249,R-HSA-168256,R-HSA-168256,R-HSA-194138,R-HSA-194315,R-HSA-194315,R-HSA-195258,R-HSA-195258,R-HSA-2029480,R-HSA-2029480,R-HSA-2029482,R-HSA-2029482,R-HSA-4420097,R-HSA-5663205,R-HSA-5663205,R-HSA-5663213,R-HSA-5663213,R-HSA-9006934,R-HSA-9012999,R-HSA-9013149,R-HSA-9013404,R-HSA-9013423,R-HSA-9658195,R-HSA-9658195,R-HSA-9664407,R-HSA-9664407,R-HSA-9664417,R-HSA-9664417,R-HSA-9664422,R-HSA-9664422,R-HSA-9716542,R-HSA-9716542
