	Terms
GNAS	R-HSA-109582,R-HSA-109582,R-HSA-1430728,R-HSA-1430728,R-HSA-162582,R-HSA-162582,R-HSA-163359,R-HSA-163685,R-HSA-163685,R-HSA-1643685,R-HSA-1643685,R-HSA-164378,R-HSA-372790,R-HSA-372790,R-HSA-373080,R-HSA-381676,R-HSA-381676,R-HSA-382551,R-HSA-388396,R-HSA-388396,R-HSA-392851,R-HSA-392851,R-HSA-418346,R-HSA-418346,R-HSA-418555,R-HSA-418555,R-HSA-418594,R-HSA-418597,R-HSA-420092,R-HSA-422356,R-HSA-422356,R-HSA-432040,R-HSA-445717,R-HSA-500792,R-HSA-5358351,R-HSA-5610787,R-HSA-5663205,R-HSA-5663205,R-HSA-9658195,R-HSA-9658195,R-HSA-9660821,R-HSA-9660821,R-HSA-9662851,R-HSA-9662851,R-HSA-9664433,R-HSA-9664433
GNAT1	R-HSA-162582,R-HSA-2187338,R-HSA-2187338,R-HSA-2485179,R-HSA-2485179,R-HSA-2514856,R-HSA-2514856,R-HSA-2514859,R-HSA-2514859,R-HSA-372790,R-HSA-388396,R-HSA-418594,R-HSA-9709957,R-HSA-9709957
GNAT2	R-HSA-162582,R-HSA-162582,R-HSA-195721,R-HSA-195721,R-HSA-372790,R-HSA-3858494,R-HSA-3858494,R-HSA-388396,R-HSA-4086398,R-HSA-4086398,R-HSA-418594
GNAT3	R-HSA-109582,R-HSA-111885,R-HSA-111885,R-HSA-112040,R-HSA-112040,R-HSA-112314,R-HSA-112314,R-HSA-112315,R-HSA-112315,R-HSA-112316,R-HSA-112316,R-HSA-162582,R-HSA-162582,R-HSA-1643685,R-HSA-170670,R-HSA-170670,R-HSA-2980736,R-HSA-372790,R-HSA-372790,R-HSA-381771,R-HSA-388396,R-HSA-388396,R-HSA-392170,R-HSA-392499,R-HSA-392518,R-HSA-400508,R-HSA-418555,R-HSA-418594,R-HSA-418594,R-HSA-418597,R-HSA-5663205,R-HSA-76002,R-HSA-8939211,R-HSA-9006931,R-HSA-9009391,R-HSA-9658195,R-HSA-9660821,R-HSA-9662851,R-HSA-9664433,R-HSA-9709957,R-HSA-9709957,R-HSA-9717189,R-HSA-9717189,R-HSA-9717207,R-HSA-9717207,R-HSA-977443,R-HSA-977443,R-HSA-977444,R-HSA-977444,R-HSA-991365,R-HSA-991365
GNAZ	R-HSA-162582,R-HSA-162582,R-HSA-1643685,R-HSA-372790,R-HSA-372790,R-HSA-388396,R-HSA-388396,R-HSA-418555,R-HSA-418594,R-HSA-418597,R-HSA-418597,R-HSA-5663205,R-HSA-9658195,R-HSA-9660821,R-HSA-9662851,R-HSA-9664433
GNB1	R-HSA-109582,R-HSA-109582,R-HSA-111885,R-HSA-112314,R-HSA-112315,R-HSA-112316,R-HSA-1296041,R-HSA-1296059,R-HSA-1296065,R-HSA-1296071,R-HSA-1430728,R-HSA-1430728,R-HSA-162582,R-HSA-162582,R-HSA-163359,R-HSA-163685,R-HSA-163685,R-HSA-1643685,R-HSA-195721,R-HSA-195721,R-HSA-202040,R-HSA-2187338,R-HSA-2187338,R-HSA-2485179,R-HSA-2485179,R-HSA-2514856,R-HSA-2514856,R-HSA-2514859,R-HSA-2980736,R-HSA-372790,R-HSA-373080,R-HSA-381676,R-HSA-381676,R-HSA-381753,R-HSA-381753,R-HSA-381771,R-HSA-382551,R-HSA-3858494,R-HSA-3858494,R-HSA-388396,R-HSA-390466,R-HSA-391251,R-HSA-392170,R-HSA-392451,R-HSA-392499,R-HSA-392518,R-HSA-392518,R-HSA-392851,R-HSA-392851,R-HSA-397795,R-HSA-400042,R-HSA-400042,R-HSA-400508,R-HSA-4086398,R-HSA-4086398,R-HSA-416476,R-HSA-416482,R-HSA-418217,R-HSA-418346,R-HSA-418346,R-HSA-418555,R-HSA-418592,R-HSA-418592,R-HSA-418594,R-HSA-418597,R-HSA-420092,R-HSA-422356,R-HSA-422356,R-HSA-428930,R-HSA-432040,R-HSA-445717,R-HSA-451326,R-HSA-456926,R-HSA-456926,R-HSA-500657,R-HSA-500792,R-HSA-5663205,R-HSA-6814122,R-HSA-76002,R-HSA-76002,R-HSA-8939211,R-HSA-8964315,R-HSA-8964616,R-HSA-9006931,R-HSA-9009391,R-HSA-9658195,R-HSA-9660821,R-HSA-9662851,R-HSA-9664433,R-HSA-9709957,R-HSA-9709957,R-HSA-9717189,R-HSA-9717189,R-HSA-9717207,R-HSA-9717207,R-HSA-977443,R-HSA-977444,R-HSA-991365,R-HSA-997272
GNB2	R-HSA-109582,R-HSA-109582,R-HSA-111885,R-HSA-112314,R-HSA-112315,R-HSA-112316,R-HSA-1296041,R-HSA-1296059,R-HSA-1296065,R-HSA-1296071,R-HSA-1430728,R-HSA-1430728,R-HSA-162582,R-HSA-162582,R-HSA-163359,R-HSA-163685,R-HSA-163685,R-HSA-1643685,R-HSA-195721,R-HSA-195721,R-HSA-202040,R-HSA-372790,R-HSA-373080,R-HSA-381676,R-HSA-381676,R-HSA-382551,R-HSA-3858494,R-HSA-3858494,R-HSA-388396,R-HSA-390466,R-HSA-391251,R-HSA-392170,R-HSA-392451,R-HSA-392499,R-HSA-392518,R-HSA-392518,R-HSA-392851,R-HSA-392851,R-HSA-397795,R-HSA-400042,R-HSA-400042,R-HSA-4086398,R-HSA-4086398,R-HSA-416476,R-HSA-416482,R-HSA-418217,R-HSA-418346,R-HSA-418346,R-HSA-418555,R-HSA-418592,R-HSA-418592,R-HSA-418594,R-HSA-418597,R-HSA-420092,R-HSA-422356,R-HSA-422356,R-HSA-428930,R-HSA-432040,R-HSA-445717,R-HSA-451326,R-HSA-456926,R-HSA-456926,R-HSA-500657,R-HSA-500792,R-HSA-5663205,R-HSA-6814122,R-HSA-76002,R-HSA-76002,R-HSA-8939211,R-HSA-8964315,R-HSA-8964616,R-HSA-9006931,R-HSA-9009391,R-HSA-9658195,R-HSA-9660821,R-HSA-9662851,R-HSA-9664433,R-HSA-977443,R-HSA-977444,R-HSA-991365,R-HSA-997272
GNB3	R-HSA-109582,R-HSA-109582,R-HSA-111885,R-HSA-112314,R-HSA-112315,R-HSA-112316,R-HSA-1296041,R-HSA-1296059,R-HSA-1296065,R-HSA-1296071,R-HSA-1430728,R-HSA-1430728,R-HSA-162582,R-HSA-162582,R-HSA-163359,R-HSA-163685,R-HSA-163685,R-HSA-1643685,R-HSA-195721,R-HSA-195721,R-HSA-202040,R-HSA-2980736,R-HSA-372790,R-HSA-373080,R-HSA-381676,R-HSA-381676,R-HSA-381771,R-HSA-382551,R-HSA-3858494,R-HSA-3858494,R-HSA-388396,R-HSA-390466,R-HSA-391251,R-HSA-392170,R-HSA-392451,R-HSA-392499,R-HSA-392518,R-HSA-392518,R-HSA-392851,R-HSA-392851,R-HSA-397795,R-HSA-400042,R-HSA-400042,R-HSA-400508,R-HSA-4086398,R-HSA-4086398,R-HSA-416476,R-HSA-416482,R-HSA-418217,R-HSA-418346,R-HSA-418346,R-HSA-418555,R-HSA-418592,R-HSA-418592,R-HSA-418594,R-HSA-418597,R-HSA-420092,R-HSA-422356,R-HSA-422356,R-HSA-428930,R-HSA-432040,R-HSA-445717,R-HSA-451326,R-HSA-456926,R-HSA-456926,R-HSA-500657,R-HSA-500792,R-HSA-5663205,R-HSA-6814122,R-HSA-76002,R-HSA-76002,R-HSA-8939211,R-HSA-8964315,R-HSA-8964616,R-HSA-9006931,R-HSA-9009391,R-HSA-9658195,R-HSA-9660821,R-HSA-9662851,R-HSA-9664433,R-HSA-9709957,R-HSA-9709957,R-HSA-9717189,R-HSA-9717189,R-HSA-9717207,R-HSA-9717207,R-HSA-977443,R-HSA-977444,R-HSA-991365,R-HSA-997272
GNB4	R-HSA-109582,R-HSA-109582,R-HSA-111885,R-HSA-112314,R-HSA-112315,R-HSA-112316,R-HSA-1296041,R-HSA-1296059,R-HSA-1296065,R-HSA-1296071,R-HSA-1430728,R-HSA-1430728,R-HSA-162582,R-HSA-162582,R-HSA-163359,R-HSA-163685,R-HSA-163685,R-HSA-1643685,R-HSA-195721,R-HSA-195721,R-HSA-202040,R-HSA-372790,R-HSA-373080,R-HSA-381676,R-HSA-381676,R-HSA-382551,R-HSA-3858494,R-HSA-3858494,R-HSA-388396,R-HSA-390466,R-HSA-391251,R-HSA-392170,R-HSA-392451,R-HSA-392499,R-HSA-392518,R-HSA-392518,R-HSA-392851,R-HSA-392851,R-HSA-397795,R-HSA-400042,R-HSA-400042,R-HSA-4086398,R-HSA-4086398,R-HSA-416476,R-HSA-416482,R-HSA-418217,R-HSA-418346,R-HSA-418346,R-HSA-418555,R-HSA-418592,R-HSA-418592,R-HSA-418594,R-HSA-418597,R-HSA-420092,R-HSA-422356,R-HSA-422356,R-HSA-428930,R-HSA-432040,R-HSA-445717,R-HSA-451326,R-HSA-456926,R-HSA-456926,R-HSA-500657,R-HSA-500792,R-HSA-5663205,R-HSA-6814122,R-HSA-76002,R-HSA-76002,R-HSA-8939211,R-HSA-8964315,R-HSA-8964616,R-HSA-9006931,R-HSA-9009391,R-HSA-9658195,R-HSA-9660821,R-HSA-9662851,R-HSA-9664433,R-HSA-977443,R-HSA-977444,R-HSA-991365,R-HSA-997272
GNB5	R-HSA-109582,R-HSA-109582,R-HSA-111885,R-HSA-112314,R-HSA-112315,R-HSA-112316,R-HSA-1296041,R-HSA-1296059,R-HSA-1296065,R-HSA-1296071,R-HSA-1430728,R-HSA-1430728,R-HSA-162582,R-HSA-162582,R-HSA-163685,R-HSA-163685,R-HSA-1643685,R-HSA-195721,R-HSA-195721,R-HSA-202040,R-HSA-2187338,R-HSA-2187338,R-HSA-2514856,R-HSA-2514856,R-HSA-2514859,R-HSA-2514859,R-HSA-372790,R-HSA-373080,R-HSA-381676,R-HSA-381676,R-HSA-382551,R-HSA-3858494,R-HSA-3858494,R-HSA-388396,R-HSA-390466,R-HSA-391251,R-HSA-392170,R-HSA-392451,R-HSA-392499,R-HSA-392518,R-HSA-392518,R-HSA-392851,R-HSA-392851,R-HSA-397795,R-HSA-400042,R-HSA-400042,R-HSA-4086398,R-HSA-4086398,R-HSA-416476,R-HSA-416482,R-HSA-418217,R-HSA-418346,R-HSA-418346,R-HSA-418555,R-HSA-418592,R-HSA-418592,R-HSA-418594,R-HSA-418597,R-HSA-420092,R-HSA-422356,R-HSA-422356,R-HSA-428930,R-HSA-432040,R-HSA-445717,R-HSA-451326,R-HSA-456926,R-HSA-456926,R-HSA-500657,R-HSA-500792,R-HSA-5663205,R-HSA-6814122,R-HSA-76002,R-HSA-76002,R-HSA-8939211,R-HSA-8964315,R-HSA-8964616,R-HSA-9006931,R-HSA-9009391,R-HSA-9658195,R-HSA-9660821,R-HSA-9662851,R-HSA-9664433,R-HSA-9709957,R-HSA-9709957,R-HSA-977443,R-HSA-977444,R-HSA-991365,R-HSA-997272
GNE	R-HSA-1643685,R-HSA-3781865,R-HSA-392499,R-HSA-4085001,R-HSA-4085011,R-HSA-446193,R-HSA-446203,R-HSA-446219,R-HSA-5609975,R-HSA-5668914,R-HSA-597592
GNG10	R-HSA-109582,R-HSA-109582,R-HSA-111885,R-HSA-112314,R-HSA-112315,R-HSA-112316,R-HSA-1296041,R-HSA-1296059,R-HSA-1296065,R-HSA-1296071,R-HSA-1430728,R-HSA-1430728,R-HSA-162582,R-HSA-162582,R-HSA-163359,R-HSA-163685,R-HSA-163685,R-HSA-1643685,R-HSA-195721,R-HSA-195721,R-HSA-202040,R-HSA-372790,R-HSA-373080,R-HSA-381676,R-HSA-381676,R-HSA-382551,R-HSA-3858494,R-HSA-3858494,R-HSA-388396,R-HSA-390466,R-HSA-391251,R-HSA-392170,R-HSA-392451,R-HSA-392499,R-HSA-392518,R-HSA-392518,R-HSA-392851,R-HSA-392851,R-HSA-397795,R-HSA-400042,R-HSA-400042,R-HSA-4086398,R-HSA-4086398,R-HSA-416476,R-HSA-416482,R-HSA-418217,R-HSA-418346,R-HSA-418346,R-HSA-418555,R-HSA-418592,R-HSA-418592,R-HSA-418594,R-HSA-418597,R-HSA-420092,R-HSA-422356,R-HSA-422356,R-HSA-428930,R-HSA-432040,R-HSA-445717,R-HSA-451326,R-HSA-456926,R-HSA-456926,R-HSA-500657,R-HSA-500792,R-HSA-5663205,R-HSA-6814122,R-HSA-76002,R-HSA-76002,R-HSA-8939211,R-HSA-8964315,R-HSA-8964616,R-HSA-9006931,R-HSA-9009391,R-HSA-9658195,R-HSA-9660821,R-HSA-9662851,R-HSA-9664433,R-HSA-977443,R-HSA-977444,R-HSA-991365,R-HSA-997272
GNG11	R-HSA-109582,R-HSA-109582,R-HSA-111885,R-HSA-112314,R-HSA-112315,R-HSA-112316,R-HSA-1296041,R-HSA-1296059,R-HSA-1296065,R-HSA-1296071,R-HSA-1430728,R-HSA-1430728,R-HSA-162582,R-HSA-162582,R-HSA-163359,R-HSA-163685,R-HSA-163685,R-HSA-1643685,R-HSA-195721,R-HSA-195721,R-HSA-202040,R-HSA-372790,R-HSA-373080,R-HSA-381676,R-HSA-381676,R-HSA-382551,R-HSA-3858494,R-HSA-3858494,R-HSA-388396,R-HSA-390466,R-HSA-391251,R-HSA-392170,R-HSA-392451,R-HSA-392499,R-HSA-392518,R-HSA-392518,R-HSA-392851,R-HSA-392851,R-HSA-397795,R-HSA-400042,R-HSA-400042,R-HSA-4086398,R-HSA-4086398,R-HSA-416476,R-HSA-416482,R-HSA-418217,R-HSA-418346,R-HSA-418346,R-HSA-418555,R-HSA-418592,R-HSA-418592,R-HSA-418594,R-HSA-418597,R-HSA-420092,R-HSA-422356,R-HSA-422356,R-HSA-428930,R-HSA-432040,R-HSA-445717,R-HSA-451326,R-HSA-456926,R-HSA-456926,R-HSA-500657,R-HSA-500792,R-HSA-5663205,R-HSA-6814122,R-HSA-76002,R-HSA-76002,R-HSA-8939211,R-HSA-8964315,R-HSA-8964616,R-HSA-9006931,R-HSA-9009391,R-HSA-9658195,R-HSA-9660821,R-HSA-9662851,R-HSA-9664433,R-HSA-977443,R-HSA-977444,R-HSA-991365,R-HSA-997272
GNG12	R-HSA-109582,R-HSA-109582,R-HSA-111885,R-HSA-112314,R-HSA-112315,R-HSA-112316,R-HSA-1296041,R-HSA-1296059,R-HSA-1296065,R-HSA-1296071,R-HSA-1430728,R-HSA-1430728,R-HSA-162582,R-HSA-162582,R-HSA-163359,R-HSA-163685,R-HSA-163685,R-HSA-1643685,R-HSA-195721,R-HSA-195721,R-HSA-202040,R-HSA-372790,R-HSA-373080,R-HSA-381676,R-HSA-381676,R-HSA-382551,R-HSA-3858494,R-HSA-3858494,R-HSA-388396,R-HSA-390466,R-HSA-391251,R-HSA-392170,R-HSA-392451,R-HSA-392499,R-HSA-392518,R-HSA-392518,R-HSA-392851,R-HSA-392851,R-HSA-397795,R-HSA-400042,R-HSA-400042,R-HSA-4086398,R-HSA-4086398,R-HSA-416476,R-HSA-416482,R-HSA-418217,R-HSA-418346,R-HSA-418346,R-HSA-418555,R-HSA-418592,R-HSA-418592,R-HSA-418594,R-HSA-418597,R-HSA-420092,R-HSA-422356,R-HSA-422356,R-HSA-428930,R-HSA-432040,R-HSA-445717,R-HSA-451326,R-HSA-456926,R-HSA-456926,R-HSA-500657,R-HSA-500792,R-HSA-5663205,R-HSA-6814122,R-HSA-76002,R-HSA-76002,R-HSA-8939211,R-HSA-8964315,R-HSA-8964616,R-HSA-9006931,R-HSA-9009391,R-HSA-9658195,R-HSA-9660821,R-HSA-9662851,R-HSA-9664433,R-HSA-977443,R-HSA-977444,R-HSA-991365,R-HSA-997272
GNG13	R-HSA-109582,R-HSA-109582,R-HSA-111885,R-HSA-112314,R-HSA-112315,R-HSA-112316,R-HSA-1296041,R-HSA-1296059,R-HSA-1296065,R-HSA-1296071,R-HSA-1430728,R-HSA-1430728,R-HSA-162582,R-HSA-162582,R-HSA-163359,R-HSA-163685,R-HSA-163685,R-HSA-1643685,R-HSA-195721,R-HSA-195721,R-HSA-202040,R-HSA-2980736,R-HSA-372790,R-HSA-373080,R-HSA-381676,R-HSA-381676,R-HSA-381753,R-HSA-381753,R-HSA-381771,R-HSA-382551,R-HSA-3858494,R-HSA-3858494,R-HSA-388396,R-HSA-390466,R-HSA-391251,R-HSA-392170,R-HSA-392451,R-HSA-392499,R-HSA-392518,R-HSA-392518,R-HSA-392851,R-HSA-392851,R-HSA-397795,R-HSA-400042,R-HSA-400042,R-HSA-400508,R-HSA-4086398,R-HSA-4086398,R-HSA-416476,R-HSA-416482,R-HSA-418217,R-HSA-418346,R-HSA-418346,R-HSA-418555,R-HSA-418592,R-HSA-418592,R-HSA-418594,R-HSA-418597,R-HSA-420092,R-HSA-422356,R-HSA-422356,R-HSA-428930,R-HSA-432040,R-HSA-445717,R-HSA-451326,R-HSA-456926,R-HSA-456926,R-HSA-500657,R-HSA-500792,R-HSA-5663205,R-HSA-6814122,R-HSA-76002,R-HSA-76002,R-HSA-8939211,R-HSA-8964315,R-HSA-8964616,R-HSA-9006931,R-HSA-9009391,R-HSA-9658195,R-HSA-9660821,R-HSA-9662851,R-HSA-9664433,R-HSA-9709957,R-HSA-9709957,R-HSA-9717189,R-HSA-9717189,R-HSA-9717207,R-HSA-9717207,R-HSA-977443,R-HSA-977444,R-HSA-991365,R-HSA-997272
GNG2	R-HSA-109582,R-HSA-109582,R-HSA-111885,R-HSA-112314,R-HSA-112315,R-HSA-112316,R-HSA-1296041,R-HSA-1296059,R-HSA-1296065,R-HSA-1296071,R-HSA-1430728,R-HSA-1430728,R-HSA-162582,R-HSA-162582,R-HSA-163359,R-HSA-163685,R-HSA-163685,R-HSA-1643685,R-HSA-195721,R-HSA-195721,R-HSA-202040,R-HSA-372790,R-HSA-373080,R-HSA-381676,R-HSA-381676,R-HSA-382551,R-HSA-3858494,R-HSA-3858494,R-HSA-388396,R-HSA-390466,R-HSA-391251,R-HSA-392170,R-HSA-392451,R-HSA-392499,R-HSA-392518,R-HSA-392518,R-HSA-392851,R-HSA-392851,R-HSA-397795,R-HSA-400042,R-HSA-400042,R-HSA-4086398,R-HSA-4086398,R-HSA-416476,R-HSA-416482,R-HSA-418217,R-HSA-418346,R-HSA-418346,R-HSA-418555,R-HSA-418592,R-HSA-418592,R-HSA-418594,R-HSA-418597,R-HSA-420092,R-HSA-422356,R-HSA-422356,R-HSA-428930,R-HSA-432040,R-HSA-445717,R-HSA-451326,R-HSA-456926,R-HSA-456926,R-HSA-500657,R-HSA-500792,R-HSA-5663205,R-HSA-6814122,R-HSA-76002,R-HSA-76002,R-HSA-8939211,R-HSA-8964315,R-HSA-8964616,R-HSA-9006931,R-HSA-9009391,R-HSA-9658195,R-HSA-9660821,R-HSA-9662851,R-HSA-9664433,R-HSA-977443,R-HSA-977444,R-HSA-991365,R-HSA-997272
GNG3	R-HSA-109582,R-HSA-109582,R-HSA-111885,R-HSA-112314,R-HSA-112315,R-HSA-112316,R-HSA-1296041,R-HSA-1296059,R-HSA-1296065,R-HSA-1296071,R-HSA-1430728,R-HSA-1430728,R-HSA-162582,R-HSA-162582,R-HSA-163359,R-HSA-163685,R-HSA-163685,R-HSA-1643685,R-HSA-195721,R-HSA-195721,R-HSA-202040,R-HSA-372790,R-HSA-373080,R-HSA-381676,R-HSA-381676,R-HSA-382551,R-HSA-3858494,R-HSA-3858494,R-HSA-388396,R-HSA-390466,R-HSA-391251,R-HSA-392170,R-HSA-392451,R-HSA-392499,R-HSA-392518,R-HSA-392518,R-HSA-392851,R-HSA-392851,R-HSA-397795,R-HSA-400042,R-HSA-400042,R-HSA-4086398,R-HSA-4086398,R-HSA-416476,R-HSA-416482,R-HSA-418217,R-HSA-418346,R-HSA-418346,R-HSA-418555,R-HSA-418592,R-HSA-418592,R-HSA-418594,R-HSA-418597,R-HSA-420092,R-HSA-422356,R-HSA-422356,R-HSA-428930,R-HSA-432040,R-HSA-445717,R-HSA-451326,R-HSA-456926,R-HSA-456926,R-HSA-500657,R-HSA-500792,R-HSA-5663205,R-HSA-6814122,R-HSA-76002,R-HSA-76002,R-HSA-8939211,R-HSA-8964315,R-HSA-8964616,R-HSA-9006931,R-HSA-9009391,R-HSA-9658195,R-HSA-9660821,R-HSA-9662851,R-HSA-9664433,R-HSA-977443,R-HSA-977444,R-HSA-991365,R-HSA-997272
GNG4	R-HSA-109582,R-HSA-109582,R-HSA-111885,R-HSA-112314,R-HSA-112315,R-HSA-112316,R-HSA-1296041,R-HSA-1296059,R-HSA-1296065,R-HSA-1296071,R-HSA-1430728,R-HSA-1430728,R-HSA-162582,R-HSA-162582,R-HSA-163359,R-HSA-163685,R-HSA-163685,R-HSA-1643685,R-HSA-195721,R-HSA-195721,R-HSA-202040,R-HSA-372790,R-HSA-373080,R-HSA-381676,R-HSA-381676,R-HSA-382551,R-HSA-3858494,R-HSA-3858494,R-HSA-388396,R-HSA-390466,R-HSA-391251,R-HSA-392170,R-HSA-392451,R-HSA-392499,R-HSA-392518,R-HSA-392518,R-HSA-392851,R-HSA-392851,R-HSA-397795,R-HSA-400042,R-HSA-400042,R-HSA-4086398,R-HSA-4086398,R-HSA-416476,R-HSA-416482,R-HSA-418217,R-HSA-418346,R-HSA-418346,R-HSA-418555,R-HSA-418592,R-HSA-418592,R-HSA-418594,R-HSA-418597,R-HSA-420092,R-HSA-422356,R-HSA-422356,R-HSA-428930,R-HSA-432040,R-HSA-445717,R-HSA-451326,R-HSA-456926,R-HSA-456926,R-HSA-500657,R-HSA-500792,R-HSA-5663205,R-HSA-6814122,R-HSA-76002,R-HSA-76002,R-HSA-8939211,R-HSA-8964315,R-HSA-8964616,R-HSA-9006931,R-HSA-9009391,R-HSA-9658195,R-HSA-9660821,R-HSA-9662851,R-HSA-9664433,R-HSA-977443,R-HSA-977444,R-HSA-991365,R-HSA-997272
GNG5	R-HSA-109582,R-HSA-109582,R-HSA-111885,R-HSA-112314,R-HSA-112315,R-HSA-112316,R-HSA-1296041,R-HSA-1296059,R-HSA-1296065,R-HSA-1296071,R-HSA-1430728,R-HSA-1430728,R-HSA-162582,R-HSA-162582,R-HSA-163359,R-HSA-163685,R-HSA-163685,R-HSA-1643685,R-HSA-195721,R-HSA-195721,R-HSA-202040,R-HSA-372790,R-HSA-373080,R-HSA-381676,R-HSA-381676,R-HSA-382551,R-HSA-3858494,R-HSA-3858494,R-HSA-388396,R-HSA-390466,R-HSA-391251,R-HSA-392170,R-HSA-392451,R-HSA-392499,R-HSA-392518,R-HSA-392518,R-HSA-392851,R-HSA-392851,R-HSA-397795,R-HSA-400042,R-HSA-400042,R-HSA-4086398,R-HSA-4086398,R-HSA-416476,R-HSA-416482,R-HSA-418217,R-HSA-418346,R-HSA-418346,R-HSA-418555,R-HSA-418592,R-HSA-418592,R-HSA-418594,R-HSA-418597,R-HSA-420092,R-HSA-422356,R-HSA-422356,R-HSA-428930,R-HSA-432040,R-HSA-445717,R-HSA-451326,R-HSA-456926,R-HSA-456926,R-HSA-500657,R-HSA-500792,R-HSA-5663205,R-HSA-6814122,R-HSA-76002,R-HSA-76002,R-HSA-8939211,R-HSA-8964315,R-HSA-8964616,R-HSA-9006931,R-HSA-9009391,R-HSA-9658195,R-HSA-9660821,R-HSA-9662851,R-HSA-9664433,R-HSA-977443,R-HSA-977444,R-HSA-991365,R-HSA-997272
GNG7	R-HSA-109582,R-HSA-109582,R-HSA-111885,R-HSA-112314,R-HSA-112315,R-HSA-112316,R-HSA-1296041,R-HSA-1296059,R-HSA-1296065,R-HSA-1296071,R-HSA-1430728,R-HSA-1430728,R-HSA-162582,R-HSA-162582,R-HSA-163359,R-HSA-163685,R-HSA-163685,R-HSA-1643685,R-HSA-195721,R-HSA-195721,R-HSA-202040,R-HSA-372790,R-HSA-373080,R-HSA-381676,R-HSA-381676,R-HSA-382551,R-HSA-3858494,R-HSA-3858494,R-HSA-388396,R-HSA-390466,R-HSA-391251,R-HSA-392170,R-HSA-392451,R-HSA-392499,R-HSA-392518,R-HSA-392518,R-HSA-392851,R-HSA-392851,R-HSA-397795,R-HSA-400042,R-HSA-400042,R-HSA-4086398,R-HSA-4086398,R-HSA-416476,R-HSA-416482,R-HSA-418217,R-HSA-418346,R-HSA-418346,R-HSA-418555,R-HSA-418592,R-HSA-418592,R-HSA-418594,R-HSA-418597,R-HSA-420092,R-HSA-422356,R-HSA-422356,R-HSA-428930,R-HSA-432040,R-HSA-445717,R-HSA-451326,R-HSA-456926,R-HSA-456926,R-HSA-500657,R-HSA-500792,R-HSA-5663205,R-HSA-6814122,R-HSA-76002,R-HSA-76002,R-HSA-8939211,R-HSA-8964315,R-HSA-8964616,R-HSA-9006931,R-HSA-9009391,R-HSA-9658195,R-HSA-9660821,R-HSA-9662851,R-HSA-9664433,R-HSA-977443,R-HSA-977444,R-HSA-991365,R-HSA-997272
GNG8	R-HSA-109582,R-HSA-109582,R-HSA-111885,R-HSA-112314,R-HSA-112315,R-HSA-112316,R-HSA-1296041,R-HSA-1296059,R-HSA-1296065,R-HSA-1296071,R-HSA-1430728,R-HSA-1430728,R-HSA-162582,R-HSA-162582,R-HSA-163359,R-HSA-163685,R-HSA-163685,R-HSA-1643685,R-HSA-195721,R-HSA-195721,R-HSA-202040,R-HSA-372790,R-HSA-373080,R-HSA-381676,R-HSA-381676,R-HSA-382551,R-HSA-3858494,R-HSA-3858494,R-HSA-388396,R-HSA-390466,R-HSA-391251,R-HSA-392170,R-HSA-392451,R-HSA-392499,R-HSA-392518,R-HSA-392518,R-HSA-392851,R-HSA-392851,R-HSA-397795,R-HSA-400042,R-HSA-400042,R-HSA-4086398,R-HSA-4086398,R-HSA-416476,R-HSA-416482,R-HSA-418217,R-HSA-418346,R-HSA-418346,R-HSA-418555,R-HSA-418592,R-HSA-418592,R-HSA-418594,R-HSA-418597,R-HSA-420092,R-HSA-422356,R-HSA-422356,R-HSA-428930,R-HSA-432040,R-HSA-445717,R-HSA-451326,R-HSA-456926,R-HSA-456926,R-HSA-500657,R-HSA-500792,R-HSA-5663205,R-HSA-6814122,R-HSA-76002,R-HSA-76002,R-HSA-8939211,R-HSA-8964315,R-HSA-8964616,R-HSA-9006931,R-HSA-9009391,R-HSA-9658195,R-HSA-9660821,R-HSA-9662851,R-HSA-9664433,R-HSA-977443,R-HSA-977444,R-HSA-991365,R-HSA-997272
