	Genes
R-HSA-110320	RCHY1,PCNA,POLH,NPLOC4,RFC1,RFC2,RFC3,RFC4,RFC5,RPA1,RPA2,RPA3,RPS27A,UBA52,UBB,UBC,UFD1,VCP,SPRTN
R-HSA-110328	LOC102724334,H4-16,H2BU1,SMUG1,NEIL2,H2BC1,POT1,TINF2,H2AC8,H2AC7,H2AX,H2AZ1,H2BC5,H2BC3,H2AB1,NTHL1,OGG1,TERF2IP,NEIL3,H4C15,H2AJ,ACD,TDG,TERF1,TERF2,H2AC19,UNG,NEIL1,H3-4,H4C9,H2AC14,H2AC6,H2AC4,H2AC18,H2AC20,H2BC8,H2BC13,H2BC15,H2BC14,H2BC7,H2BC6,H2BC9,H2BC10,H2BC4,H2BC17,H2BC21,H4C1,H4C4,H4C6,H4C12,H4C11,H4C3,H4C8,H4C2,H4C5,H4C13,H4C14,H2BC12,MBD4,H2BC11,H2AZ2
R-HSA-110329	LOC102724334,H4-16,H2BU1,SMUG1,NEIL2,H2BC1,POT1,TINF2,H2AC8,H2AC7,H2AX,H2AZ1,H2BC5,H2BC3,H2AB1,NTHL1,OGG1,TERF2IP,NEIL3,H4C15,H2AJ,ACD,TDG,TERF1,TERF2,H2AC19,UNG,NEIL1,H3-4,H4C9,H2AC14,H2AC6,H2AC4,H2AC18,H2AC20,H2BC8,H2BC13,H2BC15,H2BC14,H2BC7,H2BC6,H2BC9,H2BC10,H2BC4,H2BC17,H2BC21,H4C1,H4C4,H4C6,H4C12,H4C11,H4C3,H4C8,H4C2,H4C5,H4C13,H4C14,H2BC12,MBD4,H2BC11,H2AZ2
R-HSA-110330	LOC102724334,LOC102724334,H4-16,H4-16,H2BU1,H2BU1,H2BC1,H2BC1,POT1,POT1,TINF2,TINF2,H2AC8,H2AC8,H2AC7,H2AC7,H2AX,H2AX,H2AZ1,H2AZ1,H2BC5,H2BC5,H2BC3,H2BC3,MPG,MUTYH,H2AB1,H2AB1,OGG1,TERF2IP,TERF2IP,NEIL3,NEIL3,H4C15,H4C15,H2AJ,H2AJ,ACD,ACD,TERF1,TERF1,TERF2,TERF2,H2AC19,H2AC19,H3-4,H3-4,H4C9,H4C9,H2AC14,H2AC14,H2AC6,H2AC6,H2AC4,H2AC4,H2AC18,H2AC18,H2AC20,H2AC20,H2BC8,H2BC8,H2BC13,H2BC13,H2BC15,H2BC15,H2BC14,H2BC14,H2BC7,H2BC7,H2BC6,H2BC6,H2BC9,H2BC9,H2BC10,H2BC10,H2BC4,H2BC4,H2BC17,H2BC17,H2BC21,H2BC21,H4C1,H4C1,H4C4,H4C4,H4C6,H4C6,H4C12,H4C12,H4C11,H4C11,H4C3,H4C3,H4C8,H4C8,H4C2,H4C2,H4C5,H4C5,H4C13,H4C13,H4C14,H4C14,H2BC12,H2BC12,H2BC11,H2BC11,H2AZ2,H2AZ2
R-HSA-110331	LOC102724334,LOC102724334,H4-16,H4-16,H2BU1,H2BU1,H2BC1,H2BC1,POT1,POT1,TINF2,TINF2,H2AC8,H2AC8,H2AC7,H2AC7,H2AX,H2AX,H2AZ1,H2AZ1,H2BC5,H2BC5,H2BC3,H2BC3,MPG,MUTYH,H2AB1,H2AB1,OGG1,TERF2IP,TERF2IP,NEIL3,NEIL3,H4C15,H4C15,H2AJ,H2AJ,ACD,ACD,TERF1,TERF1,TERF2,TERF2,H2AC19,H2AC19,H3-4,H3-4,H4C9,H4C9,H2AC14,H2AC14,H2AC6,H2AC6,H2AC4,H2AC4,H2AC18,H2AC18,H2AC20,H2AC20,H2BC8,H2BC8,H2BC13,H2BC13,H2BC15,H2BC15,H2BC14,H2BC14,H2BC7,H2BC7,H2BC6,H2BC6,H2BC9,H2BC9,H2BC10,H2BC10,H2BC4,H2BC4,H2BC17,H2BC17,H2BC21,H2BC21,H4C1,H4C1,H4C4,H4C4,H4C6,H4C6,H4C12,H4C12,H4C11,H4C11,H4C3,H4C3,H4C8,H4C8,H4C2,H4C2,H4C5,H4C5,H4C13,H4C13,H4C14,H4C14,H2BC12,H2BC12,H2BC11,H2BC11,H2AZ2,H2AZ2
R-HSA-110357	SMUG1,APEX1,MPG,MUTYH,NTHL1,OGG1,TDG,UNG,MBD4
R-HSA-110362	PARP2,PARP1,FEN1,APEX1,LIG1,POLB,ADPRS,BPHL,PARG
R-HSA-110373	PARP2,POLD3,PARP1,FEN1,APEX1,LIG1,PCNA,POLE3,POLB,POLD1,POLD2,POLE,POLE2,ADPRS,POLE4,POLD4,RFC1,RFC2,RFC3,RFC4,RFC5,RPA1,RPA2,RPA3,BPHL,PARG
R-HSA-110381	APEX1,LIG3,POLB,XRCC1
R-HSA-111367	LSM11,NCBP2,ZNF473,NCBP1,SNRPB,SNRPD3,SNRPE,SNRPF,SNRPG,LSM10
