	Genes
GO:0000076	Cdt1,Cdt1,Clspn,Dna2,Tipin,Rad9a,Timeless,Tipin,Cdt1,Rad9b
GO:0000077	Atm,Atr,Atr,Cdc5l,Chek1,Chek1,Chek1,Chek2,Clock,Clspn,Donson,E2f1,Eif2ak4,Ercc6,H2ax,Hinfp,Hus1,Hus1,Hus1b,Ints7,Map3k20,Mapk14,Nbn,Prpf19,Ptpn11,Rad1,Rad9a,Rad9a,Rad9b,Rhno1,Tipin,Tiprl,Trex1,Usp28,Atm,Rhno1,Rad17,Usp28,Dot1l,Atrip,Rad1,Trp53bp1,Atr
GO:0000079	Actb,Bccip,Blm,Ccnl1,Ccny,Cdk5rap1,Cdk5rap3,Cdkn1a,Cdkn1b,Cdkn2a,Cdkn2b,Cdkn2c,Cdkn2d,Gtpbp4,Sfn,Ccno,Ccnjl,Ccni,Ccnf,Ccne1,Ccnb1,Ccng2,Ccnb2,Ccnb3,Cdk5rap3,Ccne2,Ccnd3,Ccng1,Ccnd1,Ccnd2,Mnat1,Cnppd1,Ccna2,Ccna1,Ccnh,Ccnj
GO:0000080	Sycp2,Sycp2l,Sycp2
GO:0000082	Acvr1,Acvr1b,Anp32b,Cables1,Cacul1,Camk2a,Camk2b,Camk2d,Camk2g,Ccnd1,Ccnd1,Ccnd2,Ccne1,Cdc25a,Cdk2,Cdk4,Cdkn1a,Cdkn1b,Cdkn1b,Cdkn2a,Cdkn2c,Cdkn2d,Crlf3,E2f3,E2f5,Eif4e,Eif4ebp1,Gpr132,Hinfp,Id4,Inhba,Iqgap3,Itgb1,Lats2,Lats2,Mnat1,Myb,Nasp,Nasp,Nfatc1,Phf8,Pim2,Plk2,Plk3,Pole,Ppp3ca,Rb1,Rbbp8,Rcc1,Rgcc,Rhou,Rps6,Rps6kb1,Skp2,Spdya,Taf10,Tcf19,Trim71,Usp37,Spdya,Usp37,Lats1,Ccne1,Gpr132,Usp26,Cdk2,E2f1,Cdkn1b,Ccne2,Gm49361,Lats2,Plk2,Usp29
GO:0000083	Bach1,Brd4,E2f4,E2f4,E2f6,Hinfp,Klf11,Npat,Cdk15,Cdk18,Cdk14,Cdk16,Cdk17,Npat,Cdk5
GO:0000085	Chek2
GO:0000086	Abcb1a,Abcb1b,Arpp19,Birc5,Brsk1,Brsk2,Calm1,Calm2,Calm3,Ccdc57,Ccna2,Ccny,Cdc25c,Cdk14,Cdkn1a,Cdkn2b,Chek1,Chek2,Fbxl15,Fbxl7,Foxm1,Kat14,Kdm8,Lats1,Mastl,Nes,Plcb1,Plcb1,Plk1,Ppm1d,Skp2,Skp2,Taf2,Tpd52l1,Ush1c,Wnt10b,Cdc25a,Fbxl8,Fbxl17,Fbxl12,Fbxl3,Cdc25b,Fbxl21,Cdk1,Fbxl22,Skp2,Fbxl6,Cdc25c
GO:0000089	Cdc20,Nfe2l1
GO:0000095	Slc25a26,Slc25a26
