	Genes
GO:0006956	FCN3,CFD,C3,C1QA,C1QB,C2,C8A,C8B,CFH,C4A,C4B,C7,CLU,C6,CFHR1,COLEC11,RGCC,C3,C4B,C4A
GO:0006957	CFD,CFB,CFB,C3,C5,C9,C8A,C8B,C8G,CFH,C7,CR1,CR2,CFP,CFHR5,VSIG4
GO:0006958	MASP2,C1R,C3,C5,C1QA,C1QB,C1QC,C9,C4BPA,SERPING1,CFI,C2,C8A,C8B,C8G,CD55,C1S,C4A,C4B,C7,CLU,MBL2,C6,CD46,CR1,CR2,C4BPB,C1QBP,SUSD4,C1RL,IGHV4-39,IGHV1OR15-9,IGHV1-69D,IGLC6,IGHV3-72,IGHV1-18,IGHV1-58,IGHV3-66,IGHV2-5,IGHV4-4,IGHV3-15,IGHV3-73,IGHV1-69,IGHV1-8,IGHD,IGHV3-13,IGHV2-70,IGHV3-49,IGHV3-30-3,TRBC2,IGHV3-7,IGHG2,IGHA1,IGHV3-53,IGLC3,IGHV3OR16-17,IGHV3OR16-9,IGHV3-38,IGLL1,IGHG4,IGHV1-2,IGHV4OR15-8,IGHV3-43D,IGHA2,IGHV5-10-1,IGHV4-31,IGLC1,,IGHV1-69-2,IGHV3-74,IGHV3-43,IGHV3OR16-13,IGHV3-30-5,IGHV3-30,IGHV3-20,IGHV3-33,TRBC1,IGHV7-4-1,IGHV1OR21-1,IGHM,IGHE,APCS,IGHV2-70D,IGHV6-1,IGHV2-26,IGHV3-48,IGHV3OR16-10,IGHV1OR15-1,IGHV3-9,IGHV4-28,IGHV4-30-4,,IGHV3-21,,IGHV5-51,IGHV1-24,IGHV4-59,IGHV3-23,IGHV3-16,IGHV3OR16-12,IGHV2OR16-5,IGLC2,IGKC,IGHG1,TRDC,IGHG3,CRP,IGHV3-64,IGHV3-11,IGHV4-61,IGHV1-45,IGHV3-64D,IGHV3OR16-8,IGHV3OR15-7,IGHV4-34,IGHV4-38-2,,IGHV1-3,IGHV1-46,IGLL5,IGLC7,IGHV4-30-2,IGHV7-81,IGHV3-35
GO:0006959	SH2D1A,TNFRSF21,LTA,TNF,HLA-DRB1,HLA-DQB1,LTF,IL6,GPI,POU2F2,ALOX5,BCL2,CD28,MS4A1,IL7,CCL2,ST6GAL1,TFEB,TFE3,GATA3,GPR183,BMI1,PSMB10,CCR2,NOTCH1,CCR6,CD83,PAX5,NOTCH2,RBPJ,MEF2C,BST1,EBI3,PDCD1,POU2AF1,BLNK,FOXJ1,TREM1,TREM2,YTHDF2,IFNW1,IFNA1,IFNA4,IFNA2,IFNE,JCHAIN,TRAF3IP2,IFNK,IFNA10,IFNA7,IFNA16,IFNB1,IFNG,IFNA21,IFNA8,IFNA5,IFNA17,AIRE,IFNA6,TNFRSF21,IFNA14
GO:0006965	NOD2
GO:0006968	CD5L,TYROBP,FCMR,SH2D1A,NCR1,NCR2,BCL10,ITGB1,UMOD,PRF1,NCF1,FOSL1,SPN,HLA-G,LBP,NCF2,C5AR1,GNLY,CXCR2,KLRC2,ADORA2A,ADORA2B,LSP1,MNDA,CCR2,KIR3DL2,CX3CR1,CCR3,CCR5,CCR6,CCR9,PNLIPRP2,RELA,CXCL9,KLRC3,LGALS3BP,CD300C,ITK,TCIRG1,VEZF1,PTK2B,BECN1,KIR2DS3,TRAT1,LILRB2,KLRG1,KIR2DL4,IL1RL2,CLEC5A,DCDC2,RAB23,ZNF148,LY96
GO:0006970	MAP2K7,MAPK13,AQP9,TSC22D2,NFAT5,EGFR,ATF2,APOBEC1,SORD,FMO1,KCNMA1,KCNMA1,MAP7,PTK2B,NOLC1,LRRC8A,LRRC8A,MARVELD3,TSC22D3,PLK3,TSC22D4
GO:0006971	ITGA2,SLC12A5
GO:0006972	TLR3,PDPK1,ICOSLG,HNMT,SLC12A2,SST,PKN1,AQP1,K7N7A8
GO:0006974	MACROD2,NUPR2,APBB1,MEN1,CHD2,CHEK1,TP73,OGG1,PHF1,ATMIN,SUV39H1,XRCC3,NUAK1,RAD1,KIN,BRD4,HUS1,POLQ,POLQ,PPP1R15A,CCNK,RAD17,RNF8,RNF8,RNF8,RNF8,RNF8,UFL1,UBR5,UBR5,HERC2,CHEK2,CHEK2,CHEK2,CHEK2,ABL1,MYC,TP53,TP53,TP53,TP53,POLB,LYN,LYN,PARP1,PARP1,PARP1,PARP1,FBXO45,BCL2,TOP2A,XRCC5,ATF2,ATF2,H2AX,H2AX,CTLA4,BCL3,TAF1,UBA1,CBL,RPS3,CCND1,APC,YY1,RPA1,MAPK1,AKT1,MCM7,DDIT3,GNL1,BRCA1,CDKN1A,BCL6,MNDA,MTREX,CASP3,RAD52,CBX5,YAP1,MAPKAPK2,PSEN1,MRE11,MRE11,NEK4,BLM,BLM,VCP,VCP,VCP,CASP9,WDR4,UBE2B,PRKDC,BTG2,CBX1,XIAP,CDK3,RAD51,RAD51,RAD51,RAD51,RAD51,RAD51,FMR1,FOXO1,TP53BP1,TP53BP1,PAK1,CBX3,ERCC8,ATM,ATM,ATM,ATM,ATM,ATM,NFATC2,ATR,ATR,ATR,PMAIP1,SPIDR,WRN,IRF3,TRIP12,NCOA6,USP10,PSME4,SHPRH,PCLAF,PCLAF,RBBP5,STK11,BATF,DDB1,TAF9,MICA,CTC1,C9orf116,ZC3H12A,ZRANB3,ZRANB3,ZRANB3,TFDP3,SPDYA,ACER2,RIF1,FBXO31,INTS3,NIPBL,MRNIP,FAAP20,FAAP20,FAAP20,FAAP20,RFWD3,RFWD3,RFWD3,BRAT1,STXBP4,MCM10,TAOK1,APTX,SETX,RBBP6,SLFN11,METTL3,TLK2,CHD1L,APLF,SLF2,SMC5,SMC5,CCDC13,RNF168,RNF168,RNF168,RNF168,RNF168,CCAR2,CENPS,CENPS,HROB,CGAS,ZBTB38,RNF169,RNF169,BOD1L1,FBH1,FBH1,FBH1,FBH1,HELB,WDR48,WDR48,SPATA18,MAPK15,DTX3L,BRSK1,SETD7,SUSD6,TOPBP1,DYRK2,TANK,RAD50,IRF7,ZDHHC16,NABP1,RAD51AP1,RAD51AP1,ALKBH8,SIRT1,DDX11,OTUB1,HMCES,HMCES,MASTL,VCPIP1,USP47,UBE2E2,PRAP1,ZNF385A,FAM111A,ATAD5,USP28,SMC6,SMC6,IMMP2L,MMS19,RAD9A,BARD1,NPAS2,CIB1,NABP2,NABP2,MACROD1,SLF1,CHCHD6,ALKBH7,WAC,DCUN1D5,DCUN1D5,PAXX,TRAIP,TRAIP,RBM24,SPRTN,SPRTN,SPRTN,SPRTN,SPRTN,SPRTN,SPRTN,SPRTN,SPRTN,TAOK3,FOXP1,PLK3,PLK3,EGLN3,NRDE2,WDR76,ARMT1,ZMAT3,PIDD1,UBE2T,TIGAR,SIRT7,SIRT7,UBQLN4,INIP,TOPORS,RAD18,RAD18,RAD18,ZBTB40,FANCL,HPF1,HPF1,MCM9,BABAM2,CDKN2AIP,AATF,ETAA1,ETAA1,FMN2,FMN2,SMARCAL1,DTL,DTL,NOP53,ZBTB4,ASH2L,POLK,BAZ1B,MCM8,TLK1,PARP4,VAV3,TAOK2,MCTS1,TIMELESS,TIMELESS,ZBTB1,SAMHD1,SAMHD1,TRAF6,OARD1,USP16,SIRT4,IKBKG,IKBKG,MORC2,SHPRH,UBA7,H2AX,PLK5,HPF1,SPRTN,FANCG,BLK,ETAA1,CUL4B,FAAP20,UBA1,KIN,PLK3,UBR5,LYN,BRAT1,UBA6,SLF2,,CGAS,AKTIP,MACROD2,TRIP12,UBE2T,CUL4A,POLE3,MACROD1,CHD1L,FANCF,CHCHD6
GO:0006975	CHEK1,CHEK2,ABL1,MAPK3,MAP2K6,MAPK12,ATM,ATM,CRY1
GO:0006977	TRIAP1,CHEK2,TP53,MUC1,PML,CDKN1A,CDKN1A,CDKN1A,CASP2,CDKN1B,CDKN1B,RPL26,CRADD,MDM2,SOX4,ATM,PRAP1,GML,PLK3,PIDD1,PLK2,GTSE1,CRADD
GO:0006978	CHEK2,TP53,TP53,TP53,MUC1,SP100,CDKN1A,BRCA2,TFAP4,FOXM1,RPS27L,KAT5,HIPK2,RPS6KA6,ING4,RPS6KA6
GO:0006979	PXDNL,GPX6,PDLIM1,NDUFS8,STK25,TOR1A,OGG1,CYB5B,RGS14,LIAS,ANGPTL7,PRKN,PAGE4,NDUFS2,PSIP1,IDH1,ATRN,NDUFB4,VNN1,OXSR1,MT-CO1,ABL1,MT-ND3,PRNP,KRT1,APP,MPO,TPO,CA3,ERCC1,ERCC1,HMOX1,MBL2,EPX,ALAD,NQO1,TAT,ERCC2,GPX2,ERCC3,LPO,PTGS1,PSMB5,PRDX6,PRDX5,PRDX3,AKT1,PRDX2,PRDX2,PTGS2,NUDT1,GPX4,ALDH3B1,CHRNA4,MAPK8,GCLC,GCLC,GCLM,GSS,PSEN1,SELENOP,MMP14,RCAN1,FGF8,UCN,NDUFA6,GPX6,BTG1,ERCC6,ERCC6,PRDX4,ERCC8,ERCC8,WRN,MTF1,PON2,DHCR24,ETFDH,MICB,DGKK,LRRK2,SCARA3,NAPRT,RRM2B,MSRB3,OXR1,CYGB,IPCEF1,PXDN,ABCC2,RBPMS,SIRT1,NEIL1,ERO1A,ALS2,PNKP,TXN2,PINK1,SRXN1,SGK2,DUOX2,DUOX1,C19orf12,THG1L,SLC23A2,NDUFA12,MSRA,HAO1,MSRB2,SELENOK,ERCC2,PRDX1,PRDX2,NCOA7,TLDC2,NDUFA6,HMOX2,PRDX4,OXR1,HMOX1,NDUFA12
GO:0006982	APOA4,GPX3
GO:0006983	WFS1,WFS1,TP53,HSPA5,GSK3B,PPP1R15B,CCDC47,SELENOS,SELENOS,ATG10,EIF2AK3,EIF2AK3,TMCO1,DDIT3
GO:0006984	ATP2A2
GO:0006986	PIGBOS1,TMEM129,TOR1B,DNAJB5,MFN2,HSPA4L,HSPB1,HSP90AA1,THBS1,HSP90AB1,HSPA1A,HSPD1,HSPA8,HSPA6,DNAJB1,DNAJB2,DNAJA1,HSPA1L,HSPA4,THBS4,DDIT3,COMP,SERPINH1,SERPINH1,HSPA2,MANF,HSPE1,HSPB3,HSPB3,DNAJC3,HERPUD1,HERPUD1,TRAM1,HSPB2,KBTBD6,CREBRF,UBE2J2,STT3B,STT3B,UBXN4,HSPH1,EDEM1,FAF2,ERP27,ERP44,DERL1,CHAC1,EDEM2,FICD,EDEM3,DNAJC4,FBXO6,JKAMP,DNAJB9,HSPB7,DNAJB4
GO:0006990	CREB3,XBP1,EP300,XBP1
GO:0006991	LYN,PIP4P1,PIP4P1
GO:0006995	GABARAPL2,MAP1LC3C,BECN1,MAP1LC3B,MAP1LC3B2,MAP1LC3A,ATG5,ATG7,GABARAPL3,NPRL2,GABARAPL1,BECN2,GABARAP
GO:0006996	TOR1A,KIF5C,KIF4A,CHGA,GORASP2,KIF25,HPS5,KIF3A,HPS3,HPS6
GO:0006997	BIN1,CHEK1,ATXN7,CHMP2A,VPS4B,PITPNB,IRAG2,NUMA1,PLEC,CEP55,H3-5,WDR73,CHMP1B,GOLM1,SYNE1,PDCD6IP,CHMP7,CHMP4C,CHMP6,CHMP4A,CHMP4B,CHMP1A,CHMP5,VPS4A,CHMP2B,CHMP3,PRM2
GO:0006998	TOR1A,NUP155,ZMPSTE24,SUN1,CTDNEP1,LMNA,DMPK,REEP3,NUP93,LEMD2,TMEM170A,REEP4,PARP11,SUN2,VPS4A,SUN2,LEMD3,SPAG4,SUN5,SUN3,LEMD2,DMPK,SUN1
GO:0006999	TPR,TPR,NUP98,NUP133,SEH1L,NUP54,NDC1,NUP35,NUP205
GO:0007000	RPS19,NOLC1,USP36
GO:0007004	TERT,TERT,TERT,TERT,TERT,TERT,TERT,TERT,DKC1,DKC1,DKC1,HSP90AA1,HSP90AB1,RFC1,MRE11,MRE11,TERF1,PTGES3,PTGES3,PTGES3,RAD50,ACD,PINX1,WRAP53,WRAP53,WRAP53,WRAP53,WRAP53,TNKS1BP1,PIF1,NOP10,NOP10,POT1,NHP2,NHP2,GAR1,GAR1,TERF2IP,TERF1,RPA1,TELO2,RAD50,PTGES3,TERT
GO:0007005	KIF28P,HAX1,DNM1L,TERT,RAB29,FANCG,HTRA2,PRKN,OPA1,OPA1,CLUH,NIPSNAP2,GBA,PARP1,TMEM11,RAB3A,NOS3,PRDX3,PHB,HMGCL,LONP1,CEBPA,CAV2,RAB38,CXADR,CDK5,ATP7A,GABPB1,RAB32,MTFR1,FXN,TAZ,MAN2A1,WDR81,LRRK2,VPS13D,VPS13D,MTFR2,VPS13C,CAMKMT,PYROXD2,AFG1L,CHCHD10,CHCHD10,CHCHD10,CHCHD10,MIEF2,SLC25A36,CEP89,YME1L1,YME1L1,PARK7,PHB2,HSD17B10,EPAS1,SLC25A33,SLC25A33,MSTO1,PINK1,SHARPIN,SIRT5,SELENON,PPARGC1A,ARMCX3,STOML2,AGTPBP1,BCS1L,SIRT4,PTCD2,LONP1,PHB,ADCK1,CHCHD10,DNAJA3,VPS13C,CHCHD2P9,RHOT1,CHCHD2,PHB2,LRRK2,ATAD3A,MTX3,YME1L1,VPS13D,RHOT2,ATAD3B,MTX1,ATAD3C,MTX2
GO:0007006	MFN2,SNCA,TIMM50,CLN8
GO:0007007	FAM92A,OPA1,MTX2,HSPA9,MTX1,IMMT,MTX3,MICOS10,MICOS13,APOOL,CHCHD6,APOO,GHITM,DNAJC11,CHCHD3,CHCHD3,SAMM50,MAIP1,TMEM11,CHCHD3,TAZ
GO:0007009	TLCD2,SLC9A3R1,MTSS1,SPTA1,CR1,CAV3,CRB1,SPTBN1,ANK3,BAIAP2L2,MTSS2,TLCD1,OSBPL2,A4GALT,BAIAP2L1,BAIAP2,SERP1,TLCD2,FER1L6,DYSF,TLCD1,FER1L4,MYOF,FER1L5,OTOF
GO:0007010	WTIP,CCL24,AGRN,BIN1,ABLIM1,PLD2,SPTBN2,CFAP410,SIPA1L3,DIAPH1,DIAPH1,OBSL1,PRPF40A,PALM,ACTL6B,MICAL2,CSPG5,YEATS4,ZMYM6,FTCD,PAK4,HLA-DRB1,KRT6A,APOE,THY1,KRT6B,KRT16,TPM1,CCL3,SPTB,DMD,CCL2,KRT13,KRT5,ANK1,EPB42,DES,KRT15,KRT4,KRT4,MDK,LORICRIN,CFL1,MSN,CTNNA2,CYLC1,CAP2,PRKCI,CAPZB,SOX9,CCL11,ZNF135,CNTNAP1,CCL7,ARHGAP4,FGD1,SPTBN1,ANK2,KRT76,DST,DMTN,ANK3,SPTAN1,CYLC2,ZMYM3,NEDD9,KRT31,KISS1,CCDC6,DPYSL2,UGT8,SH3D19,FGD3,CAMSAP1,ZMYM4,BRWD3,PADI6,SYNE3,FGD5,FGD6,LARP4,RHOU,MAEA,ARC,MICAL3,KRT25,FGD2,FMNL3,FITM2,PDZD8,MICAL1,ARAP3,PHIP,PALLD,SH3KBP1,SIPA1,FGD4,FMNL2,TSPAN32,CNN2,CCL13,CECR2,SPTBN4,GAN,SEMA6A,GPR35,PAK6,KRT84,BRWD1,DIAPH3,ABI2,MAP3K20,NCKIPSD,MARK1,PLCE1,PAK5,ADD3,ZRANB1,LIMD1,TNIK,STRIP2,WASF3,MAST1,KLHL20,TLN2,CDC42BPB,ACTL7B,ACTL7A,PCLO,MAST2,ARHGAP10,FGD1,NECTIN2,TNFAIP3,RANBP9,PACSIN3,STRIP1,PACSIN1,ARC,FGD2,AJUBA,SPRYD3,BRWD3,FGD4,FGD3,PHIP,BRWD1,MAST4,STRIP2,THY1,ZRANB1,MAST3,LIMD1,PACSIN2,WTIP,CFAP410,MAST1,RANBP10
GO:0007014	TRIM32
GO:0007015	TMSB15B,OOEP,KBTBD13,TMSB4Y,CDC42EP2,INPPL1,NCK2,MYO1B,SORBS3,DIAPH2,AVIL,SORBS2,SPTA1,TF,PLA2G1B,ALDOA,TMSB15A,TMSB15B,BCL2,ACTN1,RAC2,NCK1,CTNNA1,PRKCI,ARHGAP25,CCL11,EMP2,CAV3,BCAR1,CLRN1,NLRP5,CDC42,TMSB4X,TMSB10,ARF1,CGNL1,DLG1,FAT1,DBN1,KHDC3L,CARMIL1,XIRP1,RUFY3,PPARGC1B,ARHGAP12,ERMN,WHAMM,BRK1,POF1B,RND1,RND1,ARHGEF2,SH3KBP1,ZBED3,PACSIN1,TLE6,TRPV4,RHOF,BIN3,EVL,CTNNA3,MAD2L2,SHROOM4,SH3BP1,SH3BP1,CD2AP,KPTN,TPM2,CORO1A,RHOBTB2,LMOD3,MYO1A,RND2,ACTC1,XIRP1,TRIOBP,MYO1H,MPRIP,MYO1B,ERMN,ARHGEF2,RHOD,MYO1E,MYO6,PPP1R9B,MARCKSL1,MYO19,LMOD2,MYO7B,SHROOM4,U3KQA9,MYO7A,MYO1D,LMOD1,RAC1,TPM3,CORO1B,MARCKS,RHOF,MYO5B,MYO15A,TMOD1,ARHGAP25,RND3,POF1B,MYO1C,RAC3,RHOBTB3,RHOH,ELMO2,XIRP2,MYO1G,RND1,CORO7,KASH5,RHOG,CORO6,SHROOM3,RHOC,RAC2,CORO1C,TRPV4,PPP1R9A,SAMD14,MYO5C,MYO1F,RHOB,TMOD2,RHOA,TPM4,HIP1,HIP1R,ELMO3,RHOBTB1,TPM1,TMOD3,ELMO1,SHROOM2,TMOD4,SHROOM1,MYO5A,U3KQV3
GO:0007017	DCTN3,TUBB,PAFAH1B1,DYNLL1,TUBA1B,MAP3K11,TUBA1A,KIFAP3,DYNLL2,TUBA1C,TUBB2B,TRIM54,EML4,GTSE1,VBP1,MAP3K11,SRRD
GO:0007018	KIF1B,DNAL4,KIF11,DYNC1I2,KIF4B,KIF24,DNAH12,KTN1,DYNLRB2,KIFC3,DYNLRB1,KIF13B,STARD9,KIF26A,DYNC1I1,DNHD1,KIF21B,KIF27,KIF3A,DNAH17,KIF6,KIF21A,DNAI4,KIF1A,DNAI1,KIF26B,KIF22,KIF20A,DYNLT5,KIF25,DYNLT2,KIF17,DNAI3,KIF2B,DYNLRB1,KIF12,KIF7,DNAH11,KIF23,CENPE,ACTR10,DYNC1LI2,DYNLRB2,DYNLT3,KIF1B,KIF13A,DNAH6,DYNC1LI1,DYNC1H1,KIFC2,DYNLT1,DNAH2,DYNLT2B,KIFAP3,KIF19,BICD2,KIF26A,DYNLT4,DNAH9,DNAH7,KIF2C,DNAH3,DNAH1,KIF1C,KIF5B,DNAH14,KIF13B,DNAH10,KIF3C,KIF28P,DYNC2H1,KIF9,KIF18B,KIF5C,KIF2A,DYNC1I2,KIF18A,KIF3B,KIF5A,DNAH8,KIF14,KIF16B,KIF20B,DYNC2I1,DNAI2,DNAH5,KIFC1,KIF15,DYNC2I2
GO:0007019	KIF2A,STMN1,STMN1,CKAP5,KIF14,KIF24,KIF18B,KIF2B,KIF2B,KIF18A,KIF2C,KIF2C,KIF2C,NCKAP5L,KIF18B,STMN1,STMN2,STMN3,STMND1,NCKAP5,KATNB1,STMN4,KIF18A,NCKAP5L
GO:0007020	CLASP2,CSNK1D,GOLGA2,GOLGA2,CCDC57,CLASP1,TUBGCP3,TUBGCP3,TUBGCP6,TUBGCP5,RANBP9,AKAP9,CENPJ,SLAIN2,TUBGCP4,TPX2,TUBG1,TUBGCP3,TUBG2,SLAIN1,NDE1,TUBGCP2,NDEL1,TUBGCP5,HAUS2,SLAIN2,TUBGCP4,TUBGCP6
GO:0007021	CRYAB,TCP1,TBCD,A0A2R8YFB7,VBP1,TBCEL,TBCA,TBCC,TBCE
GO:0007023	TBCA,RP2,TBCE,TBCC,TBCD,A0A2R8YFB7,TBCEL,TBCE
GO:0007026	ATXN7,MID1,CLASP2,APC,APC,MAP1B,TTBK2,TAOK1,CLASP1,CLASP1,NAV3,FGF13,ARHGEF2,STMN2,BMERB1,CIB1,KATNB1,TRIM54,MAP6D1,MID1IP1,HDAC6,TPX2,HDGFL3,SPEF1,APC2,CAMSAP3,CAMSAP2,CAMSAP1,APC,CKAP2,H3BNH8
GO:0007028	KIF5B,PADI6,TFCP2L1
GO:0007029	DNM1L,TOR1B,GAK,SEC16A,SEC16A,SEC16A,TMCC1,VAPB,CASQ1,CAV2,SEC61A1,REEP5,BNIP1,MIA3,LRRK2,ATL3,ATL3,TOR1AIP2,SPTSSB,ATL2,ATL2,MAPK15,ATL1,REEP6,SEC16B,LNPK,TMEM38A,TMEM38B,SMPD4,EIF2AK3,VAPA,DOP1B,CERT1,RNF112,LMAN2,ATL1,SPTSSB,LMAN2L,JAGN1,ATL3,SEC31A,LRRK2,TOR1AIP2,LMAN1L,SEC31B,LMAN1,ATL2
GO:0007030	RAB29,RAB29,GAK,GAK,SURF4,ZW10,ZW10,CLASP2,OBSL1,ARL1,HTT,CSNK1A1,CSNK1D,LMAN1,STX17,CDC42,RAB2A,RAB1A,ARHGEF7,COG2,GOLGB1,CUL7,PRKD1,TMED2,RAB30,FAM174B,HIKESHI,LRRK2,ARHGAP21,ATL3,BHLHA15,DYM,TRAPPC11,LYSMD3,CLASP1,RAB43,PLEKHM2,HACE1,FBXW8,FBXW8,DYNC2H1,SYNE1,ATL2,NPLOC4,GOLGA5,COG1,TRAPPC12,GBF1,MYO18A,USP6NL,USP6NL,TBC1D20,OPTN,ZNF501,COG3,COG3,GORASP1,KIFC3,TMED9,BLZF1,GOLPH3L,GOLPH3,GOLPH3,BCAS3,COG4,SPTBN5,HOOK1,ZFP69B,BAG5,TRAPPC8,ARFGEF1,ARFGEF1,SEC23IP,LMAN1L,GOLGA8O,GOLGA8B,GOLGA8H,HUWE1,TJAP1,LMAN2,GOLPH3,UBXN2B,J3QRW8,GOLGA5,VPS51,GOLGA8Q,ATP8B2,GOLGA8IP,LMAN2L,GOLGA6A,ATP8B3,TMED9,GOLGA8DP,ATP8B4,TMED2,SEC16B,TRIP11,GOLGA8M,GOLGA8R,TMED5,GOLGA8CP,COG7,LMAN1,VMP1,UBXN2A,COG4,J3KT08,GOLGA2,TANGO2,LYSMD3,PI4K2A,DNAJC28,GOLPH3L,GOLGA8N,GORASP2,TMED4,GOLGA8F,GOLGA6D,GOLGA8S,SEC16A,GOLGA2P5,DYM,LRRK2,TMED6,HACE1,GOLGA8T,PLEKHM2,ATP8B1,COG3,TMED3,GORASP1,GOLGA6C,TICAM2,TMED7,TMED10,GOLGA6B,TMED1,NSFL1C,GOLGA8J,PI4K2B,COG2,BLZF1,GOLGA8K,GOLGA8A
GO:0007031	PEX12,PEX7,PEX1,PEX10,PEX11A,PEX14,PEX14,PEX11B,PEX11B,SCP2,ABCD3,ABCD3,PEX2,PEX2,ABCD1,ABCD1,PEX19,PEX19,PLAAT3,PEX3,PEX3,PEX3,PEX3,PEX6,TMEM135,LONP2,SEC16B,PEX16,PEX16,ABCD1,ABCD3,ABCD4,PEX16,ABCD2,PEX2
GO:0007032	WASH3P,DNAJC13,TMEM127,ANXA8,USP8,DNM1,SQSTM1,WASHC4,ALS2CL,LAMTOR1,PHETA2,LAPTM4B,HOOK3,EXOC8,PHETA1,FHIP1B,PIK3C3,SNX33,HOOK2,ALS2,ALS2,PLEKHF1,RNF26,VPS33B,AKTIP,VPS18,HOOK1,RAB22A,CHMP2B,SNX10,ARFGEF2,WASHC4,ANXA8,USP50,PHETA1,PHETA2,PI4K2B,PI4K2A,FHIP1B,ANXA8L1,SQSTM1,PLEKHJ1,WASHC5,VPS18,VPS11,USP8
GO:0007033	ATF2,NDP,EXT1,MAN2A1,FIG4,VPS11,I3L4J1,VPS18,VPS4A
GO:0007034	NDFIP1,NDFIP2,ATP6V0D1,ATP6V0D2,VIPAS39
GO:0007035	ATP6V0E1,SLC11A1,ATP6V0E2,ATP6V0A1,ATP6V1H,CLIC4,DMXL1,ATP6V0A4,ATP6V0D1,TCIRG1,ATP6V0D2,DMXL2,ATP6V0A2,ATP6V0A1
GO:0007039	CPA2,TCIRG1
GO:0007040	AP3B1,TPP1,ABCA1,GBA,HEXB,GAA,ARSB,TFEB,TFEB,GRN,MTOR,NAGLU,WASHC5,CLN3,MYO7A,BECN1,MBTPS1,GNPTAB,LRRK2,CLVS2,LAMTOR1,HOOK3,CLVS1,FHIP1B,MFSD8,TPCN2,HPS1,HOOK2,LYST,ZKSCAN3,AKTIP,HPS4,CHMP5,VPS18,CLN8,HOOK1,NAGPA,TMEM106B,ACP3,CLVS1,VPS18,CLN3,A0A1B0GWJ7,FHIP1B,CLVS2,GAA,CLN5,A0A1B0GVJ0,SNAPIN,A0A1B0GU22,CLN6,ACP4,ACP2,A0A1B0GW94
GO:0007041	NPC1,PSAP,PSAP,PSAP,HSPA1A,IGF2R,ARSB,M6PR,GRN,GRN,NEDD4,LRP1,VPS53,HGSNAT,VPS52,PCSK9,ALS2,ATP13A2,SPTBN5,USE1,VPS54,VPS51,VPS51,TMEM106B,HGSNAT,VPS52
GO:0007042	CLN5,ATP6AP2,SNAPIN,GRN,PPT1,CLN3,TMEM199,CCDC115,TMEM106B,CLN6,TMEM9,CLN3
GO:0007043	CLDN5,CDH2,CDH5,GJA4,GJC1,LIM2,DSG1,TJP1,FSCN1,FLCN,HDAC7,PKP4,PARD6B,TRPV4,HEG1,TLN1,TLN2,CDH19,PKP4,PKP1,DCHS1,CDH5,CDH9,CDH22,CDH12,CDH20,CDH7,CDH11,CDH8,CDH10,CDH6,ARVCF,CDH18,CDHR3,CDH24,PKP2,CTNND2,PKP3,CTNND1
GO:0007044	ITGA6,TLN1,FN1
