	Genes
GO:0000045	IRGM,ATG13,ATG13,ULK1,ATG12,BAG3,ATP2A2,PSEN1,RAB7A,RAB1A,TCIRG1,BECN1,ATG2A,TMEM41B,TMEM41B,TMEM41B,WDR45B,WIPI1,ATG9B,ATG16L1,ELAPOR1,ATG14,RUFY4,ATG9A,ATG9A,PACS2,STING1,STING1,STX12,TP53INP2,ATG16L2,RB1CC1,VMP1,VMP1,VMP1,ATG101,EMC6,AMBRA1,RAB33B,ATG5,MAP1LC3A,MAP1LC3A,ATG3,ATG3,RAB23,SYNPO2,UBQLN1,WDR45,WIPI2,WIPI2,WIPI2,RAB19,ATG101,UBXN2A,UBQLN1,ATG5,ELAPOR1,RB1CC1,STING1,ATG12,RAB1A,RAB43,MAP1LC3C,GABARAPL2,MAP1LC3B2,ATG16L1,GABARAPL3,ATG2A,BECN1,UBXN2B,ATG7,MAP1LC3B,RAB23,ATG3,TP53INP2,ATG14,RUFY4,ULK1,RAB1B,GABARAP,ULK2,GABARAPL1,EMC6,TP53INP1,ATG16L2,NSFL1C,PIK3C3,ATG2B,MAP1LC3A,UBQLN2,RAB1C,BECN2
GO:0000048	GGT1,GGT5,GGT5,GGT2,GGT1,GGT3P,GGT7
GO:0000049	TYW5,TERT,XPOT,PTCD1,TRMU,FARS2,SSB,RPL35A,TARS1,IGHMBP2,IGHMBP2,IARS1,CARS1,CARS1,RARS1,YARS1,MARS1,EEFSEC,EEF1A1,AIMP1,IFIT5,ALKBH1,KARS1,CTU2,DALRD3,EARS2,DARS2,TRMT10C,TRMT1L,TRMT11,SLFN11,TRMT10A,NSUN6,NSUN6,DTD1,MRPS27,ALKBH8,RPUSD4,DTD2,TRNT1,HSD17B10,EIF2A,MTRFR,NSUN3,ELP3,XPO5,SEPSECS,IARS2,THG1L,DUS2,TRMT1,MTRES1,EIF2AK4,METTL1,FARSA,YARS2,YARS2,PUS1,XPOT,TYW5,EIF2S3B,TRMT10B,EIF2S3,NAT10,PSTK,ELP5,PTCD1,NEMF,AARS2,NSUN2,ALKBH8,TRMT10A,YRDC,SARS2,CTU1,DALRD3,SLFN11,TRNAU1AP,M0R2C6,ELP1,EIF2A,SLFN13,AARS1,KARS1,TRMT10C,SEPSECS,SARS1,TRMT9B
GO:0000050	OTC,OTC,ASS1,ASS1,ASS1,ASS1,ASS1,ASL,ARG1,CPS1,CPS1,CEBPA,ARG2,NAGS,SLC25A2,SLC25A15,ASS1
GO:0000052	DDAH1,DDAH2,ASS1,DDAH2,DDAH1
GO:0000053	ASS1,ASS1
GO:0000054	XPO1,LSG1,ABCE1,EIF6,RAN,A0A0U1RQV5
GO:0000055	XPO1,RAN,NMD3,NMD3,NUP88,RRS1,NPM1,SDAD1,XPO1
GO:0000056	XPO1,RAN,RPS15,NUP88,NOP9,NPM1,LTV1,XPO1
GO:0000062	ACOT7,ECI2,SOAT2,SCP2,ACADL,SOAT1,HMGCL,HADHA,ALDH6A1,ACBD5,ACBD7,ACBD4,ACBD6,ACBD3,SOAT1,SOAT2,ACADVL,ACAD9,GCDH
GO:0000064	SLC7A3,SLC25A2,SLC25A2,SLC25A15,SLC25A15,SLC7A1,SLC25A2,SLC7A3,SLC7A2,SLC25A15
GO:0000070	NDC80,ZW10,ZNF207,ZNF207,BUB3,ZWINT,NEK2,PLK1,RAN,ESPL1,SMC1A,KLHL22,SPAG5,KIFC1,NUSAP1,INCENP,SMC4,KIF25,INO80,KNSTRN,SGO1,CDCA8,DSN1,KIF18A,TUBG2,SGO2,TUBG1,CENPK,KNSTRN,WRAP73,KNTC1,NSL1,MIS12,ZWINT,NCAPG2,KIF18B
GO:0000076	CDC45,RAD17,DNA2,CDC6,TIPIN,CDT1,CLSPN,TIPIN,CDT1,TIMELESS,RAD9B,RAD9A
GO:0000077	CHEK1,CHEK1,CLOCK,RAD1,HUS1,NBN,TIPRL,CHEK2,CHEK2,H2AX,E2F1,ERCC6,PTPN11,RPA4,ATR,MAPK14,ATRIP,CEP63,USP28,CDC5L,RAD9A,HINFP,RHNO1,BRIP1,CLSPN,FBXO6,INTS7,MAP3K20,DONSON,EIF2AK4,PRPF19,RAD17,ATM,TP53BP1,DOT1L,ATR,RHNO1,RAD1,ATRIP,USP28
GO:0000079	CCNT1,CCNT2,CCNK,DIRAS3,GADD45A,CDC25A,CDC25C,SFN,GTF2H1,CDKN1A,CDKN2B,CDKN2C,CDKN1B,CDK7,BLM,CDKN2D,ACTB,CDK5R2,CDK5R1,CDC37,CDKN3,CDK5RAP3,PKMYT1,CDC6,GTPBP4,BCCIP,SERTAD1,HERC5,CCNL1,CCNJ,CCND1,CCNJL,CCNG2,CCNP,CCNH,CCNB1,CCNO,CCNE1,CCNI,CCNA2,CCND2,CNPPD1,CCNB2,CCNG1,CDK5RAP3,CCNI2,MNAT1,CCNA1,CCNF,CCNE2,CCNB3,CCND3
GO:0000080	SYCP2,SYCP2L
