	Terms
NANS	hsa00520
NANP	hsa00520
NPL	hsa00520
CMAS	hsa00520
CYB5R1	hsa00520
CYB5R3	hsa00520
CYB5R2	hsa00520
CYB5RL	hsa00520
CYB5R4	hsa00520
AMDHD2	hsa00520
GNPNAT1	hsa00520
GNPDA1	hsa00520
GNPDA2	hsa00520
UXS1	hsa00520
HYAL2	hsa00531,hsa04142
HYAL1	hsa00531,hsa04142
SPAM1	hsa00531,hsa04142
HYAL4	hsa00531,hsa04142
HYAL3	hsa00531,hsa04142
IDS	hsa00531,hsa04142
IDUA	hsa00531,hsa04142
ARSB	hsa00531,hsa04142
HPSE	hsa00531,hsa05205
HPSE2	hsa00531,hsa05205
SGSH	hsa00531,hsa04142
HGSNAT	hsa00531,hsa04142
NAGLU	hsa00531,hsa04142
GALNS	hsa00531,hsa04142
GNS	hsa00531,hsa04142
XYLT1	hsa00532,hsa00534
XYLT2	hsa00532,hsa00534
B4GALT7	hsa00532,hsa00534
B3GALT6	hsa00532,hsa00534
B3GAT3	hsa00532,hsa00534
CSGALNACT1	hsa00532
CSGALNACT2	hsa00532
CHSY3	hsa00532
CHSY1	hsa00532
CHPF	hsa00532
CHPF2	hsa00532
DSE	hsa00532
CHST11	hsa00532
CHST12	hsa00532
CHST13	hsa00532
CHST3	hsa00532
CHST7	hsa00532
CHST15	hsa00532
UST	hsa00532
CHST14	hsa00532
B3GNT2	hsa00533,hsa00601
CHST6	hsa00533
B4GALT4	hsa00533,hsa00601
B3GNT7	hsa00533
CHST1	hsa00533
CHST2	hsa00533
CHST4	hsa00533
EXTL2	hsa00534
EXTL3	hsa00534
EXTL1	hsa00534
EXT1	hsa00534
EXT2	hsa00534
NDST1	hsa00534
NDST2	hsa00534
NDST3	hsa00534
NDST4	hsa00534
GLCE	hsa00534
HS2ST1	hsa00534
HS6ST1	hsa00534
HS6ST2	hsa00534
HS6ST3	hsa00534
HS3ST1	hsa00534
HS3ST2	hsa00534
HS3ST3B1	hsa00534
HS3ST3A1	hsa00534
HS3ST5	hsa00534
GK2	hsa00561,hsa03320
GK	hsa00561,hsa03320
GPAM	hsa00561,hsa00564
GPAT2	hsa00561,hsa00564
GPAT4	hsa00561,hsa00564
GPAT3	hsa00561,hsa00564
AGPAT1	hsa00561,hsa00564,hsa04072,hsa04975
AGPAT2	hsa00561,hsa00564,hsa04072,hsa04975
AGPAT3	hsa00561,hsa00564,hsa04072
AGPAT4	hsa00561,hsa00564,hsa04072
AGPAT5	hsa00561,hsa00564,hsa04072
LCLAT1	hsa00561,hsa00564
MBOAT1	hsa00561,hsa00564
MBOAT2	hsa00561,hsa00564
PLPP1	hsa00561,hsa00564,hsa00565,hsa00600,hsa04072,hsa04666,hsa04975,hsa05231
PLPP3	hsa00561,hsa00564,hsa00565,hsa00600,hsa04072,hsa04666,hsa04975,hsa05231
PLPP2	hsa00561,hsa00564,hsa00565,hsa00600,hsa04072,hsa04666,hsa04975,hsa05231
LPIN1	hsa00561,hsa00564,hsa04150,hsa04936
LPIN3	hsa00561,hsa00564,hsa04150,hsa04936
LPIN2	hsa00561,hsa00564,hsa04150,hsa04936
PLPP5	hsa00561,hsa00564
PLPP4	hsa00561,hsa00564
DGKZ	hsa00561,hsa00564,hsa04070,hsa04072,hsa05231
DGKD	hsa00561,hsa00564,hsa04070,hsa04072,hsa05231
DGKI	hsa00561,hsa00564,hsa04070,hsa04072,hsa05231
DGKA	hsa00561,hsa00564,hsa04070,hsa04072,hsa05231
DGKE	hsa00561,hsa00564,hsa04070,hsa04072,hsa05231
DGKB	hsa00561,hsa00564,hsa04070,hsa04072,hsa05231
DGKH	hsa00561,hsa00564,hsa04070,hsa04072,hsa05231
DGKG	hsa00561,hsa00564,hsa04070,hsa04072,hsa05231
DGKQ	hsa00561,hsa00564,hsa04070,hsa04072,hsa05231
DGKK	hsa00561,hsa00564,hsa04070,hsa04072,hsa05231
DGAT1	hsa00561,hsa00830,hsa04975
DGAT2	hsa00561,hsa04975
MOGAT3	hsa00561,hsa04975
PNPLA2	hsa00561,hsa04714,hsa04923
PNPLA3	hsa00561
PNLIP	hsa00561,hsa04972,hsa04975,hsa04977
PNLIPRP1	hsa00561,hsa04972,hsa04975
PNLIPRP2	hsa00561,hsa04972,hsa04975
PNLIPRP3	hsa00561
LIPC	hsa00561,hsa04979
LIPF	hsa00561,hsa04975
LIPG	hsa00561,hsa04979
LPL	hsa00561,hsa03320,hsa04979,hsa05010
AGK	hsa00561
MGLL	hsa00561,hsa04714,hsa04723,hsa04923
MOGAT1	hsa00561
MOGAT2	hsa00561,hsa04975
PIK3C3	hsa00562,hsa04070,hsa04136,hsa04140,hsa04145,hsa04371,hsa05010,hsa05014,hsa05016,hsa05017,hsa05022,hsa05131,hsa05132,hsa05152,hsa05167
MTM1	hsa00562,hsa04070
MTMR1	hsa00562,hsa04070
MTMR2	hsa00562,hsa04070
MTMR3	hsa00562,hsa04070,hsa04140
MTMR4	hsa00562,hsa04070,hsa04140
MTMR8	hsa00562,hsa04070
MTMR6	hsa00562,hsa04070
MTMR7	hsa00562,hsa04070
MTMR14	hsa00562,hsa04070,hsa04140
PI4KA	hsa00562,hsa04070
PI4KB	hsa00562,hsa04070
PI4K2A	hsa00562,hsa04070
PI4K2B	hsa00562,hsa04070
SACM1L	hsa00562,hsa04070
INPP5F	hsa00562,hsa04070
PIP5K1C	hsa00562,hsa04070,hsa04072,hsa04144,hsa04510,hsa04666,hsa04810,hsa05135,hsa05231
PIP5K1A	hsa00562,hsa04070,hsa04072,hsa04144,hsa04510,hsa04666,hsa04810,hsa05135,hsa05231
PIP5K1B	hsa00562,hsa04070,hsa04072,hsa04144,hsa04510,hsa04666,hsa04810,hsa05135,hsa05231
PIP5KL1	hsa00562,hsa04144
OCRL	hsa00562,hsa04070
INPP5B	hsa00562,hsa04070
INPP5E	hsa00562,hsa04070
SYNJ1	hsa00562,hsa04070
SYNJ2	hsa00562,hsa04070
PIK3CA	hsa00562,hsa04012,hsa04014,hsa04015,hsa04024,hsa04062,hsa04066,hsa04068,hsa04070,hsa04071,hsa04072,hsa04140,hsa04150,hsa04151,hsa04152,hsa04210,hsa04211,hsa04213,hsa04218,hsa04360,hsa04370,hsa04380,hsa04510,hsa04550,hsa04611,hsa04613,hsa04620,hsa04625,hsa04630,hsa04650,hsa04660,hsa04662,hsa04664,hsa04666,hsa04668,hsa04670,hsa04722,hsa04725,hsa04750,hsa04810,hsa04910,hsa04914,hsa04915,hsa04917,hsa04919,hsa04923,hsa04926,hsa04929,hsa04930,hsa04931,hsa04932,hsa04933,hsa04935,hsa04960,hsa04973,hsa05010,hsa05017,hsa05020,hsa05100,hsa05131,hsa05132,hsa05135,hsa05142,hsa05146,hsa05160,hsa05161,hsa05162,hsa05163,hsa05164,hsa05165,hsa05166,hsa05167,hsa05168,hsa05169,hsa05170,hsa05171,hsa05200,hsa05203,hsa05205,hsa05206,hsa05207,hsa05208,hsa05210,hsa05211,hsa05212,hsa05213,hsa05214,hsa05215,hsa05218,hsa05220,hsa05221,hsa05222,hsa05223,hsa05224,hsa05225,hsa05226,hsa05230,hsa05231,hsa05235,hsa05415,hsa05417,hsa05418
PIK3CD	hsa00562,hsa04012,hsa04014,hsa04015,hsa04024,hsa04062,hsa04066,hsa04068,hsa04070,hsa04071,hsa04072,hsa04140,hsa04150,hsa04151,hsa04152,hsa04210,hsa04211,hsa04213,hsa04218,hsa04360,hsa04370,hsa04380,hsa04510,hsa04550,hsa04611,hsa04613,hsa04620,hsa04625,hsa04630,hsa04650,hsa04660,hsa04662,hsa04664,hsa04666,hsa04668,hsa04670,hsa04722,hsa04725,hsa04750,hsa04810,hsa04910,hsa04914,hsa04915,hsa04917,hsa04919,hsa04923,hsa04926,hsa04929,hsa04930,hsa04931,hsa04932,hsa04933,hsa04935,hsa04960,hsa04973,hsa05010,hsa05017,hsa05020,hsa05100,hsa05131,hsa05132,hsa05135,hsa05142,hsa05146,hsa05160,hsa05161,hsa05162,hsa05163,hsa05164,hsa05165,hsa05166,hsa05167,hsa05168,hsa05169,hsa05170,hsa05171,hsa05200,hsa05203,hsa05205,hsa05206,hsa05207,hsa05208,hsa05210,hsa05211,hsa05212,hsa05213,hsa05214,hsa05215,hsa05218,hsa05220,hsa05221,hsa05222,hsa05223,hsa05224,hsa05225,hsa05226,hsa05230,hsa05231,hsa05235,hsa05415,hsa05417,hsa05418
PIK3CB	hsa00562,hsa04012,hsa04014,hsa04015,hsa04024,hsa04062,hsa04066,hsa04068,hsa04070,hsa04071,hsa04072,hsa04140,hsa04150,hsa04151,hsa04152,hsa04210,hsa04211,hsa04213,hsa04218,hsa04360,hsa04370,hsa04380,hsa04510,hsa04550,hsa04611,hsa04613,hsa04620,hsa04625,hsa04630,hsa04650,hsa04660,hsa04662,hsa04664,hsa04666,hsa04668,hsa04670,hsa04722,hsa04725,hsa04750,hsa04810,hsa04910,hsa04914,hsa04915,hsa04917,hsa04919,hsa04923,hsa04926,hsa04929,hsa04930,hsa04931,hsa04932,hsa04933,hsa04935,hsa04960,hsa04973,hsa05010,hsa05017,hsa05020,hsa05100,hsa05131,hsa05132,hsa05135,hsa05142,hsa05146,hsa05160,hsa05161,hsa05162,hsa05163,hsa05164,hsa05165,hsa05166,hsa05167,hsa05168,hsa05169,hsa05170,hsa05171,hsa05200,hsa05203,hsa05205,hsa05206,hsa05207,hsa05208,hsa05210,hsa05211,hsa05212,hsa05213,hsa05214,hsa05215,hsa05218,hsa05220,hsa05221,hsa05222,hsa05223,hsa05224,hsa05225,hsa05226,hsa05230,hsa05231,hsa05235,hsa05415,hsa05417,hsa05418
PIK3CG	hsa00562,hsa04022,hsa04062,hsa04072,hsa04151,hsa04261,hsa04371,hsa04611,hsa04725,hsa04921,hsa05132,hsa05145,hsa05167
PTEN	hsa00562,hsa04068,hsa04070,hsa04071,hsa04115,hsa04140,hsa04150,hsa04151,hsa04218,hsa04510,hsa04931,hsa05165,hsa05166,hsa05200,hsa05206,hsa05208,hsa05213,hsa05214,hsa05215,hsa05218,hsa05222,hsa05224,hsa05225,hsa05230,hsa05235,hsa05415
INPP5D	hsa00562,hsa04070,hsa04662,hsa04664,hsa04666
INPPL1	hsa00562,hsa04070,hsa04662,hsa04666,hsa04910
PIK3C2G	hsa00562,hsa04070,hsa05132
PIK3C2A	hsa00562,hsa04070,hsa05132
PIK3C2B	hsa00562,hsa04070,hsa05132
INPP4A	hsa00562,hsa04070
INPP4B	hsa00562,hsa04070
PIKFYVE	hsa00562,hsa04070,hsa04145,hsa04810
FIG4	hsa00562,hsa05014,hsa05022
PIP4K2C	hsa00562,hsa04070,hsa04810
PIP4K2A	hsa00562,hsa04070,hsa04810
PIP4K2B	hsa00562,hsa04070,hsa04810
PLCB1	hsa00562,hsa04015,hsa04020,hsa04022,hsa04062,hsa04070,hsa04071,hsa04072,hsa04261,hsa04270,hsa04310,hsa04371,hsa04540,hsa04611,hsa04613,hsa04621,hsa04713,hsa04720,hsa04723,hsa04724,hsa04725,hsa04726,hsa04728,hsa04730,hsa04742,hsa04750,hsa04911,hsa04912,hsa04915,hsa04916,hsa04918,hsa04919,hsa04921,hsa04922,hsa04924,hsa04925,hsa04926,hsa04927,hsa04928,hsa04929,hsa04933,hsa04934,hsa04935,hsa04961,hsa04970,hsa04971,hsa04972,hsa04973,hsa05010,hsa05016,hsa05017,hsa05022,hsa05131,hsa05142,hsa05143,hsa05146,hsa05163,hsa05200,hsa05415,hsa05417
PLCB2	hsa00562,hsa04015,hsa04020,hsa04022,hsa04062,hsa04070,hsa04071,hsa04072,hsa04261,hsa04270,hsa04310,hsa04371,hsa04540,hsa04611,hsa04613,hsa04621,hsa04713,hsa04720,hsa04723,hsa04724,hsa04725,hsa04726,hsa04728,hsa04730,hsa04742,hsa04750,hsa04911,hsa04912,hsa04915,hsa04916,hsa04918,hsa04919,hsa04921,hsa04922,hsa04924,hsa04925,hsa04926,hsa04927,hsa04928,hsa04929,hsa04933,hsa04934,hsa04935,hsa04961,hsa04970,hsa04971,hsa04972,hsa04973,hsa05010,hsa05016,hsa05017,hsa05022,hsa05131,hsa05142,hsa05143,hsa05146,hsa05163,hsa05200,hsa05415,hsa05417
PLCB3	hsa00562,hsa04015,hsa04020,hsa04022,hsa04062,hsa04070,hsa04071,hsa04072,hsa04261,hsa04270,hsa04310,hsa04371,hsa04540,hsa04611,hsa04613,hsa04621,hsa04713,hsa04720,hsa04723,hsa04724,hsa04725,hsa04726,hsa04728,hsa04730,hsa04742,hsa04750,hsa04911,hsa04912,hsa04915,hsa04916,hsa04918,hsa04919,hsa04921,hsa04922,hsa04924,hsa04925,hsa04926,hsa04927,hsa04928,hsa04929,hsa04933,hsa04934,hsa04935,hsa04961,hsa04970,hsa04971,hsa04972,hsa04973,hsa05010,hsa05016,hsa05017,hsa05022,hsa05131,hsa05142,hsa05143,hsa05146,hsa05163,hsa05200,hsa05415,hsa05417
PLCB4	hsa00562,hsa04015,hsa04020,hsa04022,hsa04062,hsa04070,hsa04071,hsa04072,hsa04261,hsa04270,hsa04310,hsa04371,hsa04540,hsa04611,hsa04613,hsa04621,hsa04713,hsa04720,hsa04723,hsa04724,hsa04725,hsa04726,hsa04728,hsa04730,hsa04742,hsa04750,hsa04911,hsa04912,hsa04915,hsa04916,hsa04918,hsa04919,hsa04921,hsa04922,hsa04924,hsa04925,hsa04926,hsa04927,hsa04928,hsa04929,hsa04933,hsa04934,hsa04935,hsa04961,hsa04970,hsa04971,hsa04972,hsa04973,hsa05010,hsa05016,hsa05017,hsa05022,hsa05131,hsa05142,hsa05143,hsa05146,hsa05163,hsa05200,hsa05415,hsa05417
PLCD1	hsa00562,hsa04020,hsa04070,hsa04919,hsa04933,hsa05131
PLCD3	hsa00562,hsa04020,hsa04070,hsa04919,hsa04933,hsa05131
PLCD4	hsa00562,hsa04020,hsa04070,hsa04919,hsa04933,hsa05131
PLCE1	hsa00562,hsa04014,hsa04015,hsa04020,hsa04024,hsa04070,hsa04919,hsa04933,hsa05131,hsa05205
PLCG1	hsa00562,hsa04012,hsa04014,hsa04015,hsa04020,hsa04062,hsa04064,hsa04066,hsa04070,hsa04072,hsa04360,hsa04370,hsa04613,hsa04650,hsa04658,hsa04659,hsa04660,hsa04664,hsa04666,hsa04670,hsa04722,hsa04750,hsa04919,hsa04933,hsa04935,hsa05012,hsa05022,hsa05110,hsa05120,hsa05131,hsa05135,hsa05167,hsa05170,hsa05171,hsa05200,hsa05205,hsa05206,hsa05214,hsa05223,hsa05225,hsa05231,hsa05235,hsa05417
PLCG2	hsa00562,hsa04012,hsa04014,hsa04020,hsa04062,hsa04064,hsa04066,hsa04070,hsa04072,hsa04360,hsa04370,hsa04380,hsa04611,hsa04613,hsa04625,hsa04650,hsa04662,hsa04664,hsa04666,hsa04670,hsa04722,hsa04750,hsa04919,hsa04933,hsa04935,hsa05110,hsa05120,hsa05131,hsa05167,hsa05169,hsa05170,hsa05171,hsa05200,hsa05205,hsa05206,hsa05214,hsa05223,hsa05225
PLCZ1	hsa00562,hsa04020,hsa04070,hsa04114,hsa04919,hsa05131
PLCH1	hsa00562
PLCH2	hsa00562
IMPA2	hsa00562,hsa04070
IMPA1	hsa00562,hsa04070
CDIPT	hsa00562,hsa00564,hsa04070
ISYNA1	hsa00562
INPP1	hsa00562,hsa04070
INPP5A	hsa00562,hsa04070,hsa04910
INPP5K	hsa00562
INPP5J	hsa00562
ITPKB	hsa00562,hsa04020,hsa04070
ITPKA	hsa00562,hsa04020,hsa04070
ITPKC	hsa00562,hsa04020,hsa04070
ITPK1	hsa00562,hsa04070
IPMK	hsa00562,hsa04070
IPPK	hsa00562,hsa04070
PIGA	hsa00563
PIGC	hsa00563
PIGH	hsa00563
PIGP	hsa00563
PIGQ	hsa00563
PIGY	hsa00563
PIGL	hsa00563
PIGW	hsa00563
GPLD1	hsa00563
PIGM	hsa00563
PIGX	hsa00563
PIGV	hsa00563
PIGN	hsa00563
PIGB	hsa00563
PIGO	hsa00563
PIGF	hsa00563
PIGG	hsa00563
GPAA1	hsa00563
PIGK	hsa00563
PIGS	hsa00563
PIGT	hsa00563
PIGU	hsa00563
PGAP1	hsa00563
MPPE1	hsa00563
PIGZ	hsa00563
GPD1L	hsa00564
GPD1	hsa00564
GPD2	hsa00564
GNPAT	hsa00564,hsa04146
PLD1	hsa00564,hsa00565,hsa04014,hsa04024,hsa04071,hsa04072,hsa04144,hsa04666,hsa04724,hsa04912,hsa04928,hsa05200,hsa05208,hsa05212,hsa05231
PLD2	hsa00564,hsa00565,hsa04014,hsa04024,hsa04071,hsa04072,hsa04144,hsa04666,hsa04724,hsa04912,hsa04928,hsa05200,hsa05208,hsa05212,hsa05231
PLD3	hsa00564,hsa00565
PLD4	hsa00564,hsa00565
LCAT	hsa00564,hsa04979
PLA2G10	hsa00564,hsa00565,hsa00590,hsa00591,hsa00592,hsa04014,hsa04270,hsa04972,hsa04975
PLA2G2D	hsa00564,hsa00565,hsa00590,hsa00591,hsa00592,hsa04014,hsa04270,hsa04972,hsa04975
PLA2G2E	hsa00564,hsa00565,hsa00590,hsa00591,hsa00592,hsa04014,hsa04270,hsa04972,hsa04975
PLA2G3	hsa00564,hsa00565,hsa00590,hsa00591,hsa00592,hsa04014,hsa04270,hsa04972,hsa04975
PLA2G2F	hsa00564,hsa00565,hsa00590,hsa00591,hsa00592,hsa04014,hsa04270,hsa04972,hsa04975
PLA2G12A	hsa00564,hsa00565,hsa00590,hsa00591,hsa00592,hsa04014,hsa04270,hsa04972,hsa04975
PLA2G12B	hsa00564,hsa00565,hsa00590,hsa00591,hsa00592,hsa04014,hsa04270,hsa04972,hsa04975
PLA2G1B	hsa00564,hsa00565,hsa00590,hsa00591,hsa00592,hsa04014,hsa04270,hsa04972,hsa04975
PLA2G5	hsa00564,hsa00565,hsa00590,hsa00591,hsa00592,hsa04014,hsa04270,hsa04972,hsa04975
PLA2G2A	hsa00564,hsa00565,hsa00590,hsa00591,hsa00592,hsa04014,hsa04270,hsa04972,hsa04975
PLA2G2C	hsa00564,hsa00565,hsa00590,hsa00591,hsa00592,hsa04014,hsa04270,hsa04972,hsa04975
PLA2G4E	hsa00564,hsa00565,hsa00590,hsa00591,hsa00592,hsa04010,hsa04014,hsa04072,hsa04217,hsa04270,hsa04370,hsa04611,hsa04664,hsa04666,hsa04724,hsa04726,hsa04730,hsa04750,hsa04912,hsa04913,hsa04921,hsa05231
PLA2G4A	hsa00564,hsa00565,hsa00590,hsa00591,hsa00592,hsa04010,hsa04014,hsa04072,hsa04217,hsa04270,hsa04370,hsa04611,hsa04664,hsa04666,hsa04724,hsa04726,hsa04730,hsa04750,hsa04912,hsa04913,hsa04921,hsa05231
JMJD7-PLA2G4B	hsa00564,hsa00565,hsa00590,hsa00591,hsa00592,hsa04010,hsa04014,hsa04072,hsa04217,hsa04270,hsa04370,hsa04611,hsa04664,hsa04666,hsa04724,hsa04726,hsa04730,hsa04750,hsa04912,hsa04913,hsa04921,hsa05231
PLA2G4B	hsa00564,hsa00565,hsa00590,hsa00591,hsa00592,hsa04010,hsa04014,hsa04072,hsa04217,hsa04270,hsa04370,hsa04611,hsa04664,hsa04666,hsa04724,hsa04726,hsa04730,hsa04750,hsa04912,hsa04913,hsa04921,hsa05231
PLA2G4C	hsa00564,hsa00565,hsa00590,hsa00591,hsa00592,hsa04010,hsa04014,hsa04072,hsa04217,hsa04270,hsa04370,hsa04611,hsa04664,hsa04666,hsa04724,hsa04726,hsa04730,hsa04750,hsa04912,hsa04913,hsa04921,hsa05231
PLA2G4D	hsa00564,hsa00565,hsa00590,hsa00591,hsa00592,hsa04010,hsa04014,hsa04072,hsa04217,hsa04270,hsa04370,hsa04611,hsa04664,hsa04666,hsa04724,hsa04726,hsa04730,hsa04750,hsa04912,hsa04913,hsa04921,hsa05231
PLA2G4F	hsa00564,hsa00565,hsa00590,hsa00591,hsa00592,hsa04010,hsa04014,hsa04072,hsa04217,hsa04270,hsa04370,hsa04611,hsa04664,hsa04666,hsa04724,hsa04726,hsa04730,hsa04750,hsa04912,hsa04913,hsa04921,hsa05231
PLA2G6	hsa00564,hsa00565,hsa00590,hsa00591,hsa00592,hsa04014,hsa04270,hsa04666,hsa04750
PLB1	hsa00564,hsa00565,hsa00590,hsa00591,hsa00592,hsa04977
PLAAT3	hsa00564,hsa00565,hsa00590,hsa00591,hsa00592,hsa04014,hsa04923
LPCAT2	hsa00564,hsa00565
LPCAT1	hsa00564,hsa00565
LPCAT4	hsa00564,hsa00565
LPCAT3	hsa00564,hsa04216
LYPLA1	hsa00564,hsa05231
PLA2G15	hsa00564,hsa04142
LYPLA2	hsa00564
PNPLA6	hsa00564
PNPLA7	hsa00564
GPCPD1	hsa00564,hsa05231
CHAT	hsa00564,hsa04725
ACHE	hsa00564,hsa04725
CHKA	hsa00564,hsa05231
CHKB	hsa00564,hsa05231
PHOSPHO1	hsa00564
ETNK1	hsa00564
ETNK2	hsa00564
ETNPPL	hsa00564
PEMT	hsa00564
CDS1	hsa00564,hsa04070
CDS2	hsa00564,hsa04070
PLA1A	hsa00564,hsa04014
PTDSS1	hsa00564
PTDSS2	hsa00564
PISD	hsa00564
PGS1	hsa00564
CRLS1	hsa00564
TAFAZZIN	hsa00564
LPGAT1	hsa00564
MBOAT7	hsa00564
AGPS	hsa00565,hsa04146
PEDS1	hsa00565
PEDS1-UBE2V1	hsa00565
ENPP6	hsa00565
ENPP2	hsa00565
GDPD3	hsa00565
GDPD1	hsa00565
TMEM86B	hsa00565
UGT8	hsa00565,hsa00600
GAL3ST1	hsa00565,hsa00600
PAFAH1B1	hsa00565
PAFAH1B2	hsa00565
PAFAH1B3	hsa00565
PLA2G7	hsa00565
PAFAH2	hsa00565
PTGS1	hsa00590,hsa04611,hsa04726,hsa04923
PTGS2	hsa00590,hsa04064,hsa04370,hsa04625,hsa04657,hsa04668,hsa04723,hsa04726,hsa04913,hsa04921,hsa04923,hsa05010,hsa05022,hsa05140,hsa05163,hsa05165,hsa05167,hsa05200,hsa05204,hsa05206,hsa05222
PTGES	hsa00590
PTGES2	hsa00590
PTGES3	hsa00590,hsa05207
CBR1	hsa00590,hsa00790,hsa00980,hsa05204,hsa05208
CBR3	hsa00590,hsa00980
PRXL2B	hsa00590
TBXAS1	hsa00590,hsa04611
PTGDS	hsa00590
PTGIS	hsa00590
ALOX5	hsa00590,hsa04664,hsa04726,hsa04913,hsa05145
LTA4H	hsa00590
CYP4F2	hsa00590
CYP4F3	hsa00590
LTC4S	hsa00590
CYP2J2	hsa00590,hsa00591,hsa04726,hsa04750,hsa04913,hsa05417
CYP2C19	hsa00590,hsa00591,hsa00982,hsa04726,hsa05204
CYP4F8	hsa00590
ALOX12	hsa00590,hsa04726,hsa04750
ALOX12B	hsa00590,hsa04726
ALOX15B	hsa00590,hsa04726
CYP2B6	hsa00590,hsa00830,hsa00980,hsa00982,hsa05207,hsa05417
CYP2C8	hsa00590,hsa00591,hsa00830,hsa00982,hsa04726,hsa05204,hsa05417
CYP2C9	hsa00590,hsa00591,hsa00830,hsa00980,hsa00982,hsa04726,hsa05204,hsa05417
EPHX2	hsa00590,hsa04146,hsa05207,hsa05208
ALOX15	hsa00590,hsa00591,hsa04216,hsa04217,hsa04726
FADS2	hsa00592,hsa01040,hsa03320
SPTLC1	hsa00600,hsa04071
SPTLC2	hsa00600,hsa04071
SPTLC3	hsa00600,hsa04071
KDSR	hsa00600
CERS1	hsa00600,hsa04071
CERS2	hsa00600,hsa04071
CERS4	hsa00600,hsa04071
CERS3	hsa00600,hsa04071
CERS6	hsa00600,hsa04071
CERS5	hsa00600,hsa04071
ASAH1	hsa00600,hsa04071,hsa04142
ASAH2	hsa00600,hsa04071
ACER2	hsa00600,hsa04071
ACER1	hsa00600,hsa04071
ACER3	hsa00600
DEGS1	hsa00600,hsa04071
DEGS2	hsa00600,hsa04071
SGMS1	hsa00600,hsa04071
SGMS2	hsa00600,hsa04071
SMPD1	hsa00600,hsa04071,hsa04142,hsa04217
SMPD2	hsa00600,hsa04071
SMPD3	hsa00600
SMPD4	hsa00600
ENPP7	hsa00600
CERK	hsa00600
SGPP1	hsa00600,hsa04071
SGPP2	hsa00600,hsa04071
SPHK1	hsa00600,hsa04020,hsa04071,hsa04072,hsa04370,hsa04371,hsa04666,hsa05152
SPHK2	hsa00600,hsa04020,hsa04071,hsa04072,hsa04370,hsa04371,hsa04666,hsa05152
SGPL1	hsa00600,hsa04071
UGCG	hsa00600
B4GALT6	hsa00600
GALC	hsa00600,hsa04142
ARSA	hsa00600,hsa04142
PSAP	hsa00600,hsa04142
PSAPL1	hsa00600,hsa04142
B3GNT5	hsa00601
B3GALT1	hsa00601
B3GALT2	hsa00601
B3GALT5	hsa00601,hsa00603
FUT1	hsa00601,hsa00603
FUT2	hsa00601,hsa00603
FUT3	hsa00601
ST3GAL4	hsa00601
ABO	hsa00601
FUT5	hsa00601
FUT6	hsa00601
FUT7	hsa00601
ST3GAL6	hsa00601
ST8SIA1	hsa00601,hsa00603,hsa00604
A4GALT	hsa00601,hsa00603
B3GALNT1	hsa00601,hsa00603
B3GNT4	hsa00601
GCNT2	hsa00601
A3GALT2	hsa00603
GBGT1	hsa00603
NAGA	hsa00603,hsa04142
B4GALNT1	hsa00604
B3GALT4	hsa00604
ST8SIA5	hsa00604
ST3GAL5	hsa00604
SLC33A1	hsa00604
ST6GALNAC5	hsa00604
ST6GALNAC6	hsa00604
ACYP2	hsa00620
ACYP1	hsa00620
ACOT12	hsa00620
LDHD	hsa00620
GLO1	hsa00620
HAGH	hsa00620
ME2	hsa00620
ME3	hsa00620,hsa03320
ME1	hsa00620,hsa03320
HAO2	hsa00630,hsa04146
HAO1	hsa00630,hsa04146
PGP	hsa00630
HYI	hsa00630
ACSS3	hsa00640
ECHDC1	hsa00640
ACSM1	hsa00650,hsa00785
ACSM2A	hsa00650
ACSM4	hsa00650
ACSM5	hsa00650
ACSM3	hsa00650
ACSM2B	hsa00650
ACSM6	hsa00650
L2HGDH	hsa00650
BDH1	hsa00650
BDH2	hsa00650
DHFR	hsa00670,hsa00790
DHFR2	hsa00670,hsa00790
MTHFD1L	hsa00670
MTHFD1	hsa00670
MTHFD2	hsa00670
MTHFD2L	hsa00670
MTFMT	hsa00670,hsa00970
ALDH1L1	hsa00670
ALDH1L2	hsa00670
MTHFR	hsa00670
MTHFS	hsa00670
ST20-MTHFS	hsa00670
NFS1	hsa00730,hsa04122
ALPL	hsa00730,hsa00790
ALPI	hsa00730,hsa00790
ALPP	hsa00730,hsa00790
ALPG	hsa00730,hsa00790
ACP1	hsa00730,hsa00740,hsa04520,hsa05208
TPK1	hsa00730
THTPA	hsa00730
RFK	hsa00740
ACP5	hsa00740,hsa04142,hsa04380,hsa05323
ACP2	hsa00740,hsa04142
FLAD1	hsa00740
BLVRB	hsa00740,hsa00860
PNPO	hsa00750
PDXK	hsa00750
PDXP	hsa00750
PHOSPHO2	hsa00750
ASPDH	hsa00760
QPRT	hsa00760
NAPRT	hsa00760
NMRK1	hsa00760
NMRK2	hsa00760
NMNAT3	hsa00760
NMNAT1	hsa00760
NMNAT2	hsa00760
NUDT12	hsa00760,hsa04146
NADSYN1	hsa00760
NAMPT	hsa00760,hsa04621
CD38	hsa00760,hsa04020,hsa04640,hsa04921,hsa04970,hsa04972
BST1	hsa00760,hsa04970,hsa04972
SIRT1	hsa00760,hsa04068,hsa04152,hsa04211,hsa04213,hsa04218,hsa04922,hsa04936,hsa05031,hsa05206
SIRT2	hsa00760
SIRT3	hsa00760,hsa05230
SIRT4	hsa00760
SIRT5	hsa00760
SIRT6	hsa00760,hsa04714,hsa05230
SIRT7	hsa00760
NADK	hsa00760
NADK2	hsa00760
NNT	hsa00760
